COUNTRY|CODE;REGION;INSERT ALL
Vietnam|VNM;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Vietnam|VNM','REG1')
Argentina|ARG;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Argentina|ARG','REG1')
Australia|AUS;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Australia|AUS','REG1')
Brazil|BRA;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Brazil|BRA','REG1')
Britain|GBR;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Britain|GBR','REG1')
Canada|CAN;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Canada|CAN','REG1')
Chile|CHL;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Chile|CHL','REG1')
China|CHN;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('China|CHN','REG1')
Colombia|COL;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Colombia|COL','REG1')
Costa Rica|CRI;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Costa Rica|CRI','REG1')
Czech Republic|CZE;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Czech Republic|CZE','REG1')
Denmark|DNK;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Denmark|DNK','REG1')
Egypt|EGY;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Egypt|EGY','REG1')
Euro area|EUR;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Euro area|EUR','REG1')
Hong Kong|HKG;REG1;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Hong Kong|HKG','REG1')
Hungary|HUN;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Hungary|HUN','REG2')
India|IND;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('India|IND','REG2')
Indonesia|IDN;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Indonesia|IDN','REG2')
Israel|ISR;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Israel|ISR','REG2')
Japan|JPN;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Japan|JPN','REG2')
Lithuania|LTU;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Lithuania|LTU','REG2')
Malaysia|MYS;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Malaysia|MYS','REG2')
Mexico|MEX;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Mexico|MEX','REG2')
New Zealand|NZL;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('New Zealand|NZL','REG2')
Norway|NOR;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Norway|NOR','REG2')
Pakistan|PAK;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Pakistan|PAK','REG2')
Peru|PER;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Peru|PER','REG2')
Philippines|PHL;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Philippines|PHL','REG2')
Poland|POL;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Poland|POL','REG2')
Russia|RUS;REG2;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Russia|RUS','REG2')
Saudi Arabia|SAU;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Saudi Arabia|SAU','REG3')
Singapore|SIN;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Singapore|SIN','REG3')
South Africa|ZAF;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('South Africa|ZAF','REG3')
South Korea|KOR;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('South Korea|KOR','REG3')
Sri Lanka|LKA;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Sri Lanka|LKA','REG3')
Sweden|SWE;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Sweden|SWE','REG3')
Switzerland|CHE;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Switzerland|CHE','REG3')
Taiwan|ROC;REG3;INTO COUNTRY_DICT_ACT(COUNTRY_CODE,COUNTRY_REG) VALUES('Taiwan|ROC','REG3')
