CUSTOMER_ID,REPORTING_DATE,EDUCATION,AGE,BUCKET
1,31.01.2010,Secondary,42,1
1,28.02.2010,Secondary,42,2
1,31.03.2010,Secondary,42,3
1,30.04.2010,Secondary,42,4
1,31.05.2010,Secondary,42,5
1,30.06.2010,Secondary,42,6
1,31.07.2010,Secondary,42,7
1,31.08.2010,Secondary,42,8
1,30.09.2010,Secondary,42,9
2,31.01.2010,Elementary,19,1
2,28.02.2010,Elementary,19,2
2,31.03.2010,Elementary,19,3
2,30.04.2010,Elementary,19,4
2,31.05.2010,Elementary,19,5
2,30.06.2010,Elementary,19,6
2,31.07.2010,Elementary,19,7
2,31.08.2010,Elementary,19,8
2,30.09.2010,Elementary,19,9
2,31.10.2010,Elementary,19,10
2,30.11.2010,Elementary,19,11
2,31.12.2010,Elementary,19,12
2,31.01.2011,Elementary,20,13
2,28.02.2011,Elementary,20,14
2,31.03.2011,Elementary,20,15
2,30.04.2011,Elementary,20,16
2,31.05.2011,Elementary,20,17
2,30.06.2011,Elementary,20,18
2,31.07.2011,Elementary,20,19
2,31.08.2011,Elementary,20,20
2,30.09.2011,Elementary,20,21
2,31.10.2011,Elementary,20,22
2,30.11.2011,Elementary,20,23
3,31.01.2010,Higher Education,20,1
3,28.02.2010,Higher Education,20,2
3,31.03.2010,Higher Education,20,3
3,30.04.2010,Higher Education,20,4
3,31.05.2010,Higher Education,20,5
3,30.06.2010,Higher Education,20,6
3,31.07.2010,Higher Education,20,7
3,31.08.2010,Higher Education,20,8
3,30.09.2010,Higher Education,20,9
3,31.10.2010,Higher Education,20,10
3,30.11.2010,Higher Education,20,11
3,31.12.2010,Higher Education,20,12
3,31.01.2011,Higher Education,21,13
3,28.02.2011,Higher Education,21,14
3,31.03.2011,Higher Education,21,15
3,30.04.2011,Higher Education,21,16
3,31.05.2011,Higher Education,21,17
3,30.06.2011,Higher Education,21,18
3,31.07.2011,Higher Education,21,19
3,31.08.2011,Higher Education,21,20
3,30.09.2011,Higher Education,21,21
4,31.01.2010,Secondary,26,1
4,28.02.2010,Secondary,26,2
4,31.03.2010,Secondary,26,3
5,31.01.2010,Secondary,41,1
5,28.02.2010,Secondary,41,2
5,31.03.2010,Secondary,41,3
5,30.04.2010,Secondary,41,4
5,31.05.2010,Secondary,41,5
5,30.06.2010,Secondary,41,6
5,31.07.2010,Secondary,41,7
5,31.08.2010,Secondary,41,8
5,30.09.2010,Secondary,41,9
5,31.10.2010,Secondary,41,10
5,30.11.2010,Secondary,41,11
5,31.12.2010,Secondary,41,12
5,31.01.2011,Secondary,42,13
5,28.02.2011,Secondary,42,14
5,31.03.2011,Secondary,42,15
5,30.04.2011,Secondary,42,16
5,31.05.2011,Secondary,42,17
5,30.06.2011,Secondary,42,18
5,31.07.2011,Secondary,42,19
5,31.08.2011,Secondary,42,20
5,30.09.2011,Secondary,42,21
5,31.10.2011,Secondary,42,22
5,30.11.2011,Secondary,42,23
6,31.01.2010,Higher Education,29,1
6,28.02.2010,Higher Education,29,2
6,31.03.2010,Higher Education,29,3
6,30.04.2010,Higher Education,29,4
6,31.05.2010,Higher Education,29,5
6,30.06.2010,Higher Education,29,6
6,31.07.2010,Higher Education,29,7
6,31.08.2010,Higher Education,29,8
6,30.09.2010,Higher Education,29,9
6,31.10.2010,Higher Education,29,10
6,30.11.2010,Higher Education,29,11
6,31.12.2010,Higher Education,29,12
6,31.01.2011,Higher Education,30,13
6,28.02.2011,Higher Education,30,14
6,31.03.2011,Higher Education,30,15
6,30.04.2011,Higher Education,30,16
6,31.05.2011,Higher Education,30,17
6,30.06.2011,Higher Education,30,18
6,31.07.2011,Higher Education,30,19
6,31.08.2011,Higher Education,30,20
6,30.09.2011,Higher Education,30,21
6,31.10.2011,Higher Education,30,22
6,30.11.2011,Higher Education,30,23
7,31.01.2010,Higher Education,32,1
7,28.02.2010,Higher Education,32,2
7,31.03.2010,Higher Education,32,3
7,30.04.2010,Higher Education,32,4
7,31.05.2010,Higher Education,32,5
7,30.06.2010,Higher Education,32,6
7,31.07.2010,Higher Education,32,7
7,31.08.2010,Higher Education,32,8
7,30.09.2010,Higher Education,32,9
7,31.10.2010,Higher Education,32,10
7,30.11.2010,Higher Education,32,11
7,31.12.2010,Higher Education,32,12
7,31.01.2011,Higher Education,33,13
7,28.02.2011,Higher Education,33,14
8,31.01.2010,Secondary,28,1
8,28.02.2010,Secondary,28,2
