LOAN_ID,CUSTOMER_ID,REPORTING_DATE,INTODEFAULT,INSTALLMENT_NM,LOAN_AMT,INSTALLMENT_AMT,PAST_DUE_AMT,BUCKET
953773,1,2010-01-31,N,24,8195,341.46,0,1
953773,1,2010-02-28,N,24,8195,341.46,0,2
953773,1,2010-03-31,N,24,8195,341.46,0,3
953773,1,2010-04-30,N,24,8195,341.46,0,4
953773,1,2010-05-31,N,24,8195,341.46,0,5
953773,1,2010-06-30,N,24,8195,341.46,0,6
953773,1,2010-07-31,N,24,8195,341.46,0,7
953773,1,2010-08-31,N,24,8195,341.46,0,8
953773,1,2010-09-30,N,24,8195,341.46,0,9
953774,2,2010-01-31,N,48,16030,333.96,0,1
953774,2,2010-02-28,N,48,16030,333.96,0,2
953774,2,2010-03-31,N,48,16030,333.96,0,3
953774,2,2010-04-30,N,48,16030,333.96,0,4
953774,2,2010-05-31,N,48,16030,333.96,0,5
953774,2,2010-06-30,N,48,16030,333.96,0,6
953774,2,2010-07-31,N,48,16030,333.96,0,7
953774,2,2010-08-31,N,48,16030,333.96,0,8
953774,2,2010-09-30,N,48,16030,333.96,0,9
953774,2,2010-10-31,N,48,16030,333.96,0,10
953774,2,2010-11-30,N,48,16030,333.96,0,11
953774,2,2010-12-31,N,48,16030,333.96,0,12
953774,2,2011-01-31,N,48,16030,333.96,0,13
953774,2,2011-02-28,N,48,16030,333.96,0,14
953774,2,2011-03-31,N,48,16030,333.96,0,15
953774,2,2011-04-30,N,48,16030,333.96,0,16
953774,2,2011-05-31,N,48,16030,333.96,0,17
953774,2,2011-06-30,N,48,16030,333.96,0,18
953774,2,2011-07-31,N,48,16030,333.96,0,19
953774,2,2011-08-31,N,48,16030,333.96,0,20
953774,2,2011-09-30,N,48,16030,333.96,0,21
953774,2,2011-10-31,N,48,16030,333.96,0,22
953774,2,2011-11-30,N,48,16030,333.96,0,23
953775,3,2010-01-31,N,48,10235,213.23,0,1
953775,3,2010-02-28,N,48,10235,213.23,0,2
953775,3,2010-03-31,N,48,10235,213.23,0,3
953775,3,2010-04-30,N,48,10235,213.23,0,4
953775,3,2010-05-31,N,48,10235,213.23,0,5
953775,3,2010-06-30,N,48,10235,213.23,0,6
953775,3,2010-07-31,N,48,10235,213.23,0,7
953775,3,2010-08-31,N,48,10235,213.23,0,8
953775,3,2010-09-30,N,48,10235,213.23,0,9
953775,3,2010-10-31,N,48,10235,213.23,0,10
953775,3,2010-11-30,N,48,10235,213.23,0,11
953775,3,2010-12-31,N,48,10235,213.23,0,12
953775,3,2011-01-31,N,48,10235,213.23,0,13
953775,3,2011-02-28,N,48,10235,213.23,0,14
953775,3,2011-03-31,N,48,10235,213.23,0,15
953775,3,2011-04-30,N,48,10235,213.23,0,16
953775,3,2011-05-31,N,48,10235,213.23,0,17
953775,3,2011-06-30,N,48,10235,213.23,0,18
953775,3,2011-07-31,N,48,10235,213.23,0,19
953775,3,2011-08-31,N,48,10235,213.23,0,20
953775,3,2011-09-30,N,48,10235,213.23,0,21
953776,4,2010-01-31,N,12,8826,735.5,0,1
953776,4,2010-02-28,N,12,8826,735.5,0,2
953776,4,2010-03-31,N,12,8826,735.5,0,3
953777,5,2010-01-31,N,12,1862,155.17,0,1
953777,5,2010-02-28,N,12,1862,155.17,0,2
953777,5,2010-03-31,N,12,1862,155.17,0,3
953777,5,2010-04-30,N,12,1862,155.17,0,4
953777,5,2010-05-31,N,12,1862,155.17,0,5
953777,5,2010-06-30,N,12,1862,155.17,0,6
953777,5,2010-07-31,N,12,1862,155.17,0,7
953777,5,2010-08-31,N,12,1862,155.17,0,8
953777,5,2010-09-30,N,12,1862,155.17,0,9
953777,5,2010-10-31,N,12,1862,155.17,0,10
953777,5,2010-11-30,N,12,1862,155.17,0,11
953777,5,2010-12-31,N,12,1862,155.17,0,12
953777,5,2011-01-31,N,12,1862,155.17,0,13
953777,5,2011-02-28,N,12,1862,155.17,0,14
953777,5,2011-03-31,N,12,1862,155.17,0,15
953777,5,2011-04-30,N,12,1862,155.17,0,16
953777,5,2011-05-31,N,12,1862,155.17,0,17
953777,5,2011-06-30,N,12,1862,155.17,0,18
953777,5,2011-07-31,N,12,1862,155.17,0,19
953777,5,2011-08-31,N,12,1862,155.17,0,20
953777,5,2011-09-30,N,12,1862,155.17,0,21
953777,5,2011-10-31,N,12,1862,155.17,0,22
953777,5,2011-11-30,N,12,1862,155.17,0,23
953778,6,2010-01-31,N,24,11480,478.33,0,1
953778,6,2010-02-28,N,24,11480,478.33,0,2
953778,6,2010-03-31,N,24,11480,478.33,0,3
953778,6,2010-04-30,N,24,11480,478.33,0,4
953778,6,2010-05-31,N,24,11480,478.33,0,5
953778,6,2010-06-30,N,24,11480,478.33,0,6
953778,6,2010-07-31,N,24,11480,478.33,0,7
953778,6,2010-08-31,N,24,11480,478.33,0,8
953778,6,2010-09-30,N,24,11480,478.33,0,9
953778,6,2010-10-31,N,24,11480,478.33,0,10
953778,6,2010-11-30,N,24,11480,478.33,0,11
953778,6,2010-12-31,N,24,11480,478.33,0,12
953778,6,2011-01-31,N,24,11480,478.33,0,13
953778,6,2011-02-28,N,24,11480,478.33,0,14
953778,6,2011-03-31,N,24,11480,478.33,0,15
953778,6,2011-04-30,N,24,11480,478.33,0,16
953778,6,2011-05-31,N,24,11480,478.33,0,17
953778,6,2011-06-30,N,24,11480,478.33,0,18
953778,6,2011-07-31,N,24,11480,478.33,0,19
953778,6,2011-08-31,N,24,11480,478.33,0,20
953778,6,2011-09-30,N,24,11480,478.33,0,21
953778,6,2011-10-31,N,24,11480,478.33,0,22
953778,6,2011-11-30,N,24,11480,478.33,0,23
953779,7,2010-01-31,N,12,7921,660.08,0,1
953779,7,2010-02-28,N,12,7921,660.08,0,2
953779,7,2010-03-31,Y,12,7921,660.08,507,3
953779,7,2010-04-30,Y,12,7921,660.08,980,4
953779,7,2010-05-31,Y,12,7921,660.08,1119,5
953779,7,2010-06-30,Y,12,7921,660.08,1315,6
953779,7,2010-07-31,Y,12,7921,660.08,1721,7
953779,7,2010-08-31,Y,12,7921,660.08,1881,8
953779,7,2010-09-30,Y,12,7921,660.08,2004,9
953779,7,2010-10-31,Y,12,7921,660.08,2138,10
953779,7,2010-11-30,Y,12,7921,660.08,2480,11
953779,7,2010-12-31,Y,12,7921,660.08,3135,12
953779,7,2011-01-31,Y,12,7921,660.08,3135,13
953779,7,2011-02-28,Y,12,7921,660.08,3135,14
953780,8,2010-01-31,Y,24,6733,280.54,56.11,1
953780,8,2010-02-28,Y,24,6733,280.54,119,2
953780,8,2010-03-31,Y,24,6733,280.54,387,3
953781,9,2010-01-31,N,72,12861,178.63,0,1
953781,9,2010-02-28,N,72,12861,178.63,0,2
953781,9,2010-03-31,N,72,12861,178.63,0,3
953867,10,2010-01-31,N,12,10281,856.75,0,1
953867,10,2010-02-28,N,12,10281,856.75,0,2
953867,10,2010-03-31,N,12,10281,856.75,0,3
953867,10,2010-04-30,N,12,10281,856.75,0,4
953867,10,2010-05-31,N,12,10281,856.75,0,5
953867,10,2010-06-30,N,12,10281,856.75,0,6
953867,10,2010-07-31,N,12,10281,856.75,0,7
953867,10,2010-08-31,N,12,10281,856.75,0,8
953867,10,2010-09-30,N,12,10281,856.75,0,9
953867,10,2010-10-31,N,12,10281,856.75,0,10
953867,10,2010-11-30,N,12,10281,856.75,0,11
953867,10,2010-12-31,N,12,10281,856.75,0,12
953867,10,2011-01-31,N,12,10281,856.75,0,13
953867,10,2011-02-28,N,12,10281,856.75,0,14
953867,10,2011-03-31,N,12,10281,856.75,0,15
953867,10,2011-04-30,N,12,10281,856.75,0,16
953867,10,2011-05-31,N,12,10281,856.75,0,17
953867,10,2011-06-30,N,12,10281,856.75,0,18
