CUSTOMER_ID,REPORTING_DATE,EDUCATION,AGE,BUCKET
1,2010-01-31,Secondary,42,1
1,2010-02-28,Secondary,42,2
1,2010-03-31,Secondary,42,3
1,2010-04-30,Secondary,42,4
1,2010-05-31,Secondary,42,5
1,2010-06-30,Secondary,42,6
1,2010-07-31,Secondary,42,7
1,2010-08-31,Secondary,42,8
1,2010-09-30,Secondary,42,9
2,2010-01-31,Elementary,19,1
2,2010-02-28,Elementary,19,2
2,2010-03-31,Elementary,19,3
2,2010-04-30,Elementary,19,4
2,2010-05-31,Elementary,19,5
2,2010-06-30,Elementary,19,6
2,2010-07-31,Elementary,19,7
2,2010-08-31,Elementary,19,8
2,2010-09-30,Elementary,19,9
2,2010-10-31,Elementary,19,10
2,2010-11-30,Elementary,19,11
2,2010-12-31,Elementary,19,12
2,2011-01-31,Elementary,20,13
2,2011-02-28,Elementary,20,14
2,2011-03-31,Elementary,20,15
2,2011-04-30,Elementary,20,16
2,2011-05-31,Elementary,20,17
2,2011-06-30,Elementary,20,18
2,2011-07-31,Elementary,20,19
2,2011-08-31,Elementary,20,20
2,2011-09-30,Elementary,20,21
2,2011-10-31,Elementary,20,22
2,2011-11-30,Elementary,20,23
3,2010-01-31,Higher Education,20,1
3,2010-02-28,Higher Education,20,2
3,2010-03-31,Higher Education,20,3
3,2010-04-30,Higher Education,20,4
3,2010-05-31,Higher Education,20,5
3,2010-06-30,Higher Education,20,6
3,2010-07-31,Higher Education,20,7
3,2010-08-31,Higher Education,20,8
3,2010-09-30,Higher Education,20,9
3,2010-10-31,Higher Education,20,10
3,2010-11-30,Higher Education,20,11
3,2010-12-31,Higher Education,20,12
3,2011-01-31,Higher Education,21,13
3,2011-02-28,Higher Education,21,14
3,2011-03-31,Higher Education,21,15
3,2011-04-30,Higher Education,21,16
3,2011-05-31,Higher Education,21,17
3,2011-06-30,Higher Education,21,18
3,2011-07-31,Higher Education,21,19
3,2011-08-31,Higher Education,21,20
3,2011-09-30,Higher Education,21,21
4,2010-01-31,Secondary,26,1
4,2010-02-28,Secondary,26,2
4,2010-03-31,Secondary,26,3
5,2010-01-31,Secondary,41,1
5,2010-02-28,Secondary,41,2
5,2010-03-31,Secondary,41,3
5,2010-04-30,Secondary,41,4
5,2010-05-31,Secondary,41,5
5,2010-06-30,Secondary,41,6
5,2010-07-31,Secondary,41,7
5,2010-08-31,Secondary,41,8
5,2010-09-30,Secondary,41,9
5,2010-10-31,Secondary,41,10
5,2010-11-30,Secondary,41,11
5,2010-12-31,Secondary,41,12
5,2011-01-31,Secondary,42,13
5,2011-02-28,Secondary,42,14
5,2011-03-31,Secondary,42,15
5,2011-04-30,Secondary,42,16
5,2011-05-31,Secondary,42,17
5,2011-06-30,Secondary,42,18
5,2011-07-31,Secondary,42,19
5,2011-08-31,Secondary,42,20
5,2011-09-30,Secondary,42,21
5,2011-10-31,Secondary,42,22
5,2011-11-30,Secondary,42,23
6,2010-01-31,Higher Education,29,1
6,2010-02-28,Higher Education,29,2
6,2010-03-31,Higher Education,29,3
6,2010-04-30,Higher Education,29,4
6,2010-05-31,Higher Education,29,5
6,2010-06-30,Higher Education,29,6
6,2010-07-31,Higher Education,29,7
6,2010-08-31,Higher Education,29,8
6,2010-09-30,Higher Education,29,9
6,2010-10-31,Higher Education,29,10
6,2010-11-30,Higher Education,29,11
6,2010-12-31,Higher Education,29,12
6,2011-01-31,Higher Education,30,13
