HOUSEHOLD_ID,INCOME_ID,REPORTING_DATE,MARRIED,HOUSE_OWNER,BUCKET,CHILD_NO,HH_MEMBERS
5766042,5481163,2010-01-31,Y,Y,1,1,3
5766042,5481163,2010-02-28,Y,Y,2,1,3
5766042,5481163,2010-03-31,Y,Y,3,1,3
5766042,5481163,2010-04-30,Y,Y,4,1,3
5766042,5481163,2010-05-31,Y,Y,5,1,3
5766042,5481163,2010-06-30,Y,Y,6,1,3
5766042,5481163,2010-07-31,Y,Y,7,1,3
5766042,5481163,2010-08-31,Y,Y,8,1,3
5766042,5481163,2010-09-30,Y,Y,9,1,3
5766059,5481165,2010-01-31,N,N,1,2,3
5766059,5481165,2010-02-28,N,N,2,2,3
5766059,5481165,2010-03-31,N,N,3,2,3
5766059,5481165,2010-04-30,N,N,4,2,3
5766059,5481165,2010-05-31,N,N,5,2,3
5766059,5481165,2010-06-30,N,N,6,2,3
5766059,5481165,2010-07-31,N,N,7,2,3
5766059,5481165,2010-08-31,N,N,8,2,3
5766059,5481165,2010-09-30,N,N,9,2,3
5766059,5481165,2010-10-31,N,N,10,2,3
5766059,5481165,2010-11-30,N,N,11,2,3
5766059,5481165,2010-12-31,N,N,12,2,3
5766059,5481165,2011-01-31,N,N,13,2,3
5766059,5481165,2011-02-28,N,N,14,2,3
5766059,5481165,2011-03-31,N,N,15,2,3
5766059,5481165,2011-04-30,N,N,16,2,3
5766059,5481165,2011-05-31,N,N,17,2,3
5766059,5481165,2011-06-30,N,N,18,2,3
5766059,5481165,2011-07-31,N,N,19,2,3
5766059,5481165,2011-08-31,N,N,20,2,3
5766059,5481165,2011-09-30,N,N,21,2,3
5766059,5481165,2011-10-31,N,N,22,2,3
5766059,5481165,2011-11-30,N,N,23,2,3
5766062,5481183,2010-01-31,Y,N,1,0,2
5766062,5481183,2010-02-28,Y,N,2,0,2
5766062,5481183,2010-03-31,Y,N,3,0,2
5766062,5481183,2010-04-30,Y,N,4,0,2
5766062,5481183,2010-05-31,Y,N,5,0,2
5766062,5481183,2010-06-30,Y,N,6,0,2
5766062,5481183,2010-07-31,Y,N,7,0,2
5766062,5481183,2010-08-31,Y,N,8,0,2
5766062,5481183,2010-09-30,Y,N,9,0,2
5766062,5481183,2010-10-31,Y,N,10,0,2
5766062,5481183,2010-11-30,Y,N,11,0,2
5766062,5481183,2010-12-31,Y,N,12,0,2
5766062,5481183,2011-01-31,Y,N,13,0,2
5766062,5481183,2011-02-28,Y,N,14,0,2
5766062,5481183,2011-03-31,Y,N,15,0,2
5766062,5481183,2011-04-30,Y,N,16,0,2
5766062,5481183,2011-05-31,Y,N,17,0,2
5766062,5481183,2011-06-30,Y,N,18,0,2
5766062,5481183,2011-07-31,Y,N,19,0,2
5766062,5481183,2011-08-31,Y,N,20,0,2
5766062,5481183,2011-09-30,Y,N,21,0,2
5766065,5481199,2010-01-31,Y,N,1,0,2
5766065,5481199,2010-02-28,Y,N,2,0,2
5766065,5481199,2010-03-31,Y,N,3,0,2
5766086,5481217,2010-01-31,Y,Y,1,0,2
5766086,5481217,2010-02-28,Y,Y,2,0,2
5766086,5481217,2010-03-31,Y,Y,3,0,2
5766086,5481217,2010-04-30,Y,Y,4,0,2
5766086,5481217,2010-05-31,Y,Y,5,0,2
5766086,5481217,2010-06-30,Y,Y,6,0,2
5766086,5481217,2010-07-31,Y,Y,7,0,2
5766086,5481217,2010-08-31,Y,Y,8,0,2
5766086,5481217,2010-09-30,Y,Y,9,0,2
5766086,5481217,2010-10-31,Y,Y,10,0,2
5766086,5481217,2010-11-30,Y,Y,11,0,2
5766086,5481217,2010-12-31,Y,Y,12,0,2
5766086,5481217,2011-01-31,Y,Y,13,0,2
5766086,5481217,2011-02-28,Y,Y,14,0,2
5766086,5481217,2011-03-31,Y,Y,15,0,2
5766086,5481217,2011-04-30,Y,Y,16,0,2
5766086,5481217,2011-05-31,Y,Y,17,0,2
5766086,5481217,2011-06-30,Y,Y,18,0,2
5766086,5481217,2011-07-31,Y,Y,19,0,2
5766086,5481217,2011-08-31,Y,Y,20,0,2
5766086,5481217,2011-09-30,Y,Y,21,0,2
5766086,5481217,2011-10-31,Y,Y,22,0,2
5766086,5481217,2011-11-30,Y,Y,23,0,2
5766109,5481236,2010-01-31,N,N,1,4,5
5766109,5481236,2010-02-28,N,N,2,4,5
5766109,5481236,2010-03-31,N,N,3,4,5
5766109,5481236,2010-04-30,N,N,4,4,5
5766109,5481236,2010-05-31,N,N,5,4,5
5766109,5481236,2010-06-30,N,N,6,4,5
5766109,5481236,2010-07-31,N,N,7,4,5
5766109,5481236,2010-08-31,N,N,8,4,5
5766109,5481236,2010-09-30,N,N,9,4,5
5766109,5481236,2010-10-31,N,N,10,4,5
5766109,5481236,2010-11-30,N,N,11,4,5
5766109,5481236,2010-12-31,N,N,12,4,5
5766109,5481236,2011-01-31,N,N,13,4,5
5766109,5481236,2011-02-28,N,N,14,4,5
5766109,5481236,2011-03-31,N,N,15,4,5
5766109,5481236,2011-04-30,N,N,16,4,5
5766109,5481236,2011-05-31,N,N,17,4,5
5766109,5481236,2011-06-30,N,N,18,4,5
5766109,5481236,2011-07-31,N,N,19,4,5
5766109,5481236,2011-08-31,N,N,20,4,5
5766109,5481236,2011-09-30,N,N,21,4,5
5766109,5481236,2011-10-31,N,N,22,4,5
5766109,5481236,2011-11-30,N,N,23,4,5
5766130,5481253,2010-01-31,Y,Y,1,0,2
5766130,5481253,2010-02-28,Y,Y,2,0,2
5766130,5481253,2010-03-31,Y,Y,3,0,2
5766130,5481253,2010-04-30,Y,Y,4,0,2
5766130,5481253,2010-05-31,Y,Y,5,0,2
5766130,5481253,2010-06-30,Y,Y,6,0,2
5766130,5481253,2010-07-31,Y,Y,7,0,2
5766130,5481253,2010-08-31,Y,Y,8,0,2
5766130,5481253,2010-09-30,Y,Y,9,0,2
5766130,5481253,2010-10-31,Y,Y,10,0,2
5766130,5481253,2010-11-30,Y,Y,11,0,2
5766130,5481253,2010-12-31,Y,Y,12,0,2
5766130,5481253,2011-01-31,Y,Y,13,0,2
5766130,5481253,2011-02-28,Y,Y,14,0,2
5766153,5481271,2010-01-31,N,N,1,1,2
5766153,5481271,2010-02-28,N,N,2,1,2
5766153,5481271,2010-03-31,N,N,3,1,2
5766175,5481289,2010-01-31,Y,N,1,3,5
5766175,5481289,2010-02-28,Y,N,2,3,5
5766175,5481289,2010-03-31,Y,N,3,3,5
5766196,5481308,2010-01-31,Y,N,1,1,3
5766196,5481308,2010-02-28,Y,N,2,1,3
5766196,5481308,2010-03-31,Y,N,3,1,3
5766196,5481308,2010-04-30,Y,N,4,1,3
5766196,5481308,2010-05-31,Y,N,5,1,3
5766196,5481308,2010-06-30,Y,N,6,1,3
5766196,5481308,2010-07-31,Y,N,7,1,3
5766196,5481308,2010-08-31,Y,N,8,1,3
5766196,5481308,2010-09-30,Y,N,9,1,3
5766196,5481308,2010-10-31,Y,N,10,1,3
5766196,5481308,2010-11-30,Y,N,11,1,3
5766196,5481308,2010-12-31,Y,N,12,1,3
5766196,5481308,2011-01-31,Y,N,13,1,3
5766196,5481308,2011-02-28,Y,N,14,1,3
5766196,5481308,2011-03-31,Y,N,15,1,3
5766196,5481308,2011-04-30,Y,N,16,1,3
5766196,5481308,2011-05-31,Y,N,17,1,3
5766196,5481308,2011-06-30,Y,N,18,1,3
5766196,5481308,2011-07-31,Y,N,19,1,3
5766196,5481308,2011-08-31,Y,N,20,1,3
5766196,5481308,2011-09-30,Y,N,21,1,3
5766196,5481308,2011-10-31,Y,N,22,1,3
5766218,5481326,2010-01-31,N,N,1,1,2
5766218,5481326,2010-02-28,N,N,2,1,2
5766218,5481326,2010-03-31,N,N,3,1,2
5766218,5481326,2010-04-30,N,N,4,1,2
5766218,5481326,2010-05-31,N,N,5,1,2
5766218,5481326,2010-06-30,N,N,6,1,2
5766218,5481326,2010-07-31,N,N,7,1,2
5766218,5481326,2010-08-31,N,N,8,1,2
5766218,5481326,2010-09-30,N,N,9,1,2
5766218,5481326,2010-10-31,N,N,10,1,2
5766218,5481326,2010-11-30,N,N,11,1,2
5766218,5481326,2010-12-31,N,N,12,1,2
5766218,5481326,2011-01-31,N,N,13,1,2
5766218,5481326,2011-02-28,N,N,14,1,2
5766218,5481326,2011-03-31,N,N,15,1,2
5766218,5481326,2011-04-30,N,N,16,1,2
5766218,5481326,2011-05-31,N,N,17,1,2
5766218,5481326,2011-06-30,N,N,18,1,2
5766218,5481326,2011-07-31,N,N,19,1,2
5766218,5481326,2011-08-31,N,N,20,1,2
5766218,5481326,2011-09-30,N,N,21,1,2
5766218,5481326,2011-10-31,N,N,22,1,2
5766218,5481326,2011-11-30,N,N,23,1,2
5766223,5481344,2010-01-31,N,N,1,0,1
5766223,5481344,2010-02-28,N,N,2,0,1
5766223,5481344,2010-03-31,N,N,3,0,1
5766223,5481344,2010-04-30,N,N,4,0,1
5766224,5481360,2010-01-31,N,N,1,0,1
5766224,5481360,2010-02-28,N,N,2,0,1
5766224,5481360,2010-03-31,N,N,3,0,1
5766224,5481360,2010-04-30,N,N,4,0,1
5766224,5481360,2010-05-31,N,N,5,0,1
5766224,5481360,2010-06-30,N,N,6,0,1
5766224,5481360,2010-07-31,N,N,7,0,1
5766224,5481360,2010-08-31,N,N,8,0,1
5766224,5481360,2010-09-30,N,N,9,0,1
5766240,5481361,2010-01-31,Y,N,1,1,3
5766241,5481362,2010-01-31,N,N,1,1,2
5766248,5481378,2010-01-31,Y,Y,1,1,3
5766248,5481378,2010-02-28,Y,Y,2,1,3
5766248,5481378,2010-03-31,Y,Y,3,1,3
5766248,5481378,2010-04-30,Y,Y,4,1,3
5766248,5481378,2010-05-31,Y,Y,5,1,3
5766248,5481378,2010-06-30,Y,Y,6,1,3
5766248,5481378,2010-07-31,Y,Y,7,1,3
5766248,5481378,2010-08-31,Y,Y,8,1,3
5766248,5481378,2010-09-30,Y,Y,9,1,3
5766248,5481378,2010-10-31,Y,Y,10,1,3
5766248,5481378,2010-11-30,Y,Y,11,1,3
5766248,5481378,2010-12-31,Y,Y,12,1,3
5766248,5481378,2011-01-31,Y,Y,13,1,3
5766248,5481378,2011-02-28,Y,Y,14,1,3
5766248,5481378,2011-03-31,Y,Y,15,1,3
5766248,5481378,2011-04-30,Y,Y,16,1,3
5766248,5481378,2011-05-31,Y,Y,17,1,3
5766248,5481378,2011-06-30,Y,Y,18,1,3
5766248,5481378,2011-07-31,Y,Y,19,1,3
5766248,5481378,2011-08-31,Y,Y,20,1,3
5766271,5481394,2010-01-31,Y,Y,1,0,2
5766271,5481394,2010-02-28,Y,Y,2,0,2
5766271,5481394,2010-03-31,Y,Y,3,0,2
5766271,5481394,2010-04-30,Y,Y,4,0,2
