reference_team,season,count
142,2016.0,1
148,2022.0,1
214,2015.0,1
270,2016.0,1
374,2010.0,1
493,2019.0,1
495,2020.0,1
568,2014.0,1
574,2014.0,1
577,2010.0,1
577,2011.0,3
577,2012.0,5
577,2013.0,5
577,2014.0,7
577,2015.0,2
577,2016.0,3
577,2017.0,4
577,2019.0,3
577,2020.0,3
577,2021.0,5
577,2022.0,2
581,2019.0,1
605,2011.0,2
605,2014.0,2
605,2015.0,2
605,2016.0,2
605,2017.0,1
605,2018.0,4
605,2019.0,4
605,2020.0,5
609,2016.0,1
616,2018.0,1
627,2017.0,3
648,2018.0,1
666,2014.0,1
680,2017.0,1
680,2018.0,1
680,2019.0,2
685,2020.0,1
693,2011.0,1
694,2012.0,4
694,2014.0,1
694,2015.0,2
694,2016.0,2
694,2019.0,1
694,2021.0,1
708,2011.0,3
708,2012.0,1
708,2013.0,1
708,2015.0,2
946,2011.0,1
957,2022.0,1
1018,2016.0,1
1019,2018.0,1
1318,2018.0,1
1396,2016.0,1
1397,2021.0,1
1424,2014.0,1
1941,2014.0,1
2206,2016.0,1
2212,2016.0,1
2228,2015.0,1
2228,2017.0,1
2256,2011.0,1
2256,2013.0,3
2256,2016.0,1
2256,2017.0,1
2256,2019.0,1
2256,2021.0,1
2261,2009.0,1
2261,2012.0,1
2261,2014.0,1
2261,2017.0,1
2261,2018.0,1
2448,2017.0,1
2542,2015.0,1
2589,2019.0,1
2589,2020.0,1
2599,2018.0,1
2606,2016.0,1
2659,2018.0,1
2733,2018.0,1
3153,2019.0,1
3317,2009.0,1
3317,2014.0,2
3318,2010.0,1
3318,2011.0,1
3318,2013.0,1
3318,2015.0,2
3318,2016.0,2
3318,2017.0,5
3319,2012.0,1
3319,2013.0,1
3319,2014.0,2
3319,2019.0,1
3319,2020.0,1
3320,2013.0,1
3320,2014.0,2
3320,2015.0,1
3320,2016.0,1
3320,2017.0,1
3320,2018.0,2
3320,2019.0,1
3321,2013.0,1
3321,2014.0,1
3321,2020.0,2
3322,2013.0,1
3322,2016.0,2
3322,2018.0,1
3322,2021.0,1
3322,2022.0,1
3323,2014.0,1
3323,2019.0,1
3323,2022.0,1
3324,2010.0,1
3324,2011.0,2
3324,2022.0,1
3325,2009.0,1
3325,2011.0,1
3325,2012.0,1
3325,2015.0,2
3325,2017.0,1
3325,2018.0,1
3326,2011.0,2
3326,2016.0,1
3326,2018.0,1
3326,2020.0,1
3328,2010.0,1
3329,2017.0,1
3329,2019.0,1
3331,2015.0,1
3331,2019.0,1
3331,2022.0,1
3332,2014.0,1
3333,2022.0,1
3334,2014.0,1
3334,2015.0,1
3334,2017.0,1
3334,2022.0,2
3336,2017.0,1
3336,2020.0,1
3336,2021.0,2
3336,2022.0,1
3337,2016.0,1
3337,2018.0,1
3337,2021.0,1
3339,2013.0,1
3339,2016.0,2
3339,2019.0,1
3340,2021.0,2
3340,2022.0,1
3382,2011.0,1
3499,2021.0,1
3595,2021.0,1
3738,2015.0,1
3739,2016.0,1
3740,2012.0,1
3749,2018.0,1
3787,2018.0,1
3836,2012.0,3
3836,2014.0,1
3836,2021.0,1
3836,2022.0,2
3838,2012.0,1
3838,2014.0,3
3839,2015.0,1
3885,2013.0,1
3885,2016.0,1
3885,2017.0,2
3885,2019.0,1
4021,2017.0,1
4132,2015.0,1
4196,2019.0,1
4322,2020.0,1
4333,2010.0,1
4346,2019.0,1
4356,2012.0,1
4375,2011.0,1
4482,2016.0,1
4552,2022.0,1
4558,2016.0,1
4566,2018.0,2
4566,2021.0,1
4619,2020.0,1
4627,2020.0,1
4633,2021.0,1
4659,2022.0,1
4671,2013.0,1
4671,2022.0,1
4801,2022.0,1
5499,2022.0,1
5727,2014.0,1
6410,2017.0,1
7257,2020.0,1
7507,2015.0,1
7507,2017.0,1
7507,2018.0,1
7858,2016.0,1
9030,2021.0,1
9390,2018.0,1
9787,2019.0,1
9809,2018.0,1
10672,2015.0,1
10720,2021.0,1
10726,2018.0,1
11147,2012.0,2
11147,2013.0,1
12250,2020.0,1
12772,2018.0,1
12772,2020.0,1
12832,2020.0,1
13185,2013.0,1
13855,2017.0,1
14281,2018.0,1
14392,2021.0,1
14394,2018.0,1
14395,2017.0,1
15106,2014.0,1
15573,2017.0,1
15576,2021.0,1
15577,2021.0,1
15580,2020.0,1
17740,2021.0,1
20139,2010.0,1
20406,2022.0,1
