team_id,player_id,p_firstname,p_lastname,p_age,p_nationality,season
1483,14313,Marin,Pilj,28,Croatia,2023
1483,14352,Michele,Šego,24,Croatia,2023
1483,14370,Mario,Marina,35,Bosnia and Herzegovina,2023
1483,14541,Marko,Stolnik,27,Croatia,2023
1483,14778,Jurica,Poldrugač,27,Croatia,2023
1483,14902,Martin,Pajić,25,Croatia,2023
1483,25295,Jozo,Stanić,24,Croatia,2023
1483,33387,Karlo,Bručić,32,Croatia,2023
1483,52838,Andris Jesús,Herrera Salgado,27,Venezuela,2023
1483,90736,Ante,Vukušić,33,Croatia,2023
1483,128701,Tomislav,Gudelj,26,Croatia,2023
1483,131435,Jakov,Karabatić,23,Croatia,2023
1483,270566,Filip,Mekić,21,Croatia,2023
1483,282230,Marino,Bulat,24,Croatia,2023
1483,326627,Noa,Vugrinec,22,Croatia,2023
1483,337626,Niko,Domjanić,21,Croatia,2023
1483,411863,Borna,Lesjak,19,Croatia,2023
1483,420398,Marko,Težak,19,Croatia,2023
1483,420399,Damir,Posavec,19,Croatia,2023
1483,440650,Tin,Levanić,19,Bosnia and Herzegovina,2023
1483,3605,Jorgo,Pëllumbi,24,Albania,2023
1483,14445,Ivan,Nekić,24,Croatia,2023
1483,14457,Igor,Postonjski,29,Croatia,2023
1483,14508,Antonio,Boršić,29,Croatia,2023
1483,14536,Matija,Kolarić,28,Croatia,2023
1483,14549,Leonard,Vuk,29,Croatia,2023
1483,14610,Josip,Silić,25,Croatia,2023
1483,30904,Fran,Brodić,27,Croatia,2023
1483,37361,Oliver,Zelenika,31,Croatia,2023
1483,79944,Luka,Jelenić,24,Croatia,2023
1483,125702,David,Mistrafović,23,Switzerland,2023
1483,130260,Rafael Reis,Pereira,23,Portugal,2023
1483,134720,Karlo,Perić,23,Croatia,2023
1483,215929,Luka,Škaričić,22,Croatia,2023
1483,283707,Karlo,Lusavec,21,Croatia,2023
1483,292869,Filip,Kirić,20,Croatia,2023
1483,295976,Leon,Belcar,22,Croatia,2023
1483,328631,Lovre,Banovec,23,Croatia,2023
1483,358649,Vito,Težak,19,Croatia,2023
1483,404442,Nick,Ocvirek,20,Croatia,2023
1483,14346,Tonio,Teklić,25,Croatia,2023
1483,14400,Domagoj,Drožđek,28,Croatia,2023
1483,15483,Lamine,Ba,27,Mauritania,2023
1483,29998,Marko,Vukčević,31,Montenegro,2023
1483,134925,Andrea,Capone,22,Italy,2023
1483,146044,Agon,Elezi,23,North Macedonia,2023
1483,163483,Dimitar,Mitrovski,25,North Macedonia,2023
