player_id,full_name,firstname,lastname,age,team_id,league_id,valid_since
54,Diego Costa,Diego,da Silva Costa,35,39,39,14.6.2023
178,Lucas Moura,Lucas,Rodrigues Moura da Silva,31,47,39,2018-01-31
297,A. Oxlade-Chamberlain,Alexander Mark David,Oxlade-Chamberlain,30,40,39,
888,P. Jones,Phil Anthony,Jones,31,33,39,
900,J. Lingard,Jesse Ellis,Lingard,31,65,39,
2473,M. Lanzini,Manuel,Lanzini,30,48,39,
2677,João Moutinho,João Filipe,Iria Santos Moutinho,37,39,39,
18753,Adama Traoré,Adama,Traoré Diarra,28,39,39,
18753,Adama Traoré,Adama,Traoré Diarra,28, 36,39,
18762,T. Davies,Thomas,Davies,26,45,39,
18762,T. Davies,Thomas,Davies,26, 62,39,
18849,J. McArthur,James,McFarlane McArthur,36,52,39,
18852,L. Milivojević,Luka,Milivojević,32,52,39,
18854,A. Townsend,Andros Darryl,Townsend,33,45,39,
18854,A. Townsend,Andros Darryl,Townsend,33, 1359,39,
18858,A. Begović,Asmir,Begović,36,45,39,
18878,J. Stanislas,Felix Junior,Stanislas,34,35,39,
18891,C. Clark,Ciaran,Clark,34,62,39,
19174,J. Steer,Jed John,Steer,31,66,39,
19299,J. Colback,Jack Raymond,Colback,34,65,39,
19842,L. Taylor,Lyle James Alfred,Taylor,33,65,39,
130419,M. Longstaff,Matthew Ben,Longstaff,23,34,39,
181822,E. Wady,Ethan James,Wady,21,49,39,
