name,firstname,lastname,age,team_id,league_id
Diego Costa,Diego,da Silva Costa,35,39,39
Lucas Moura,Lucas,Rodrigues Moura da Silva,31,47,39
A. Oxlade-Chamberlain,Alexander Mark David,Oxlade-Chamberlain,30,40,39
P. Jones,Phil Anthony,Jones,31,33,39
J. Lingard,Jesse Ellis,Lingard,31,65,39
M. Lanzini,Manuel,Lanzini,30,48,39
João Moutinho,João Filipe,Iria Santos Moutinho,37,39,39
Adama Traoré,Adama,Traoré Diarra,27,"39, 36",39
T. Davies,Thomas,Davies,25,"45, 62",39
J. McArthur,James,McFarlane McArthur,36,52,39
L. Milivojević,Luka,Milivojević,32,52,39
A. Townsend,Andros Darryl,Townsend,32,"45, 1359",39
A. Begović,Asmir,Begović,36,45,39
J. Stanislas,Felix Junior,Stanislas,34,35,39
C. Clark,Ciaran,Clark,34,62,39
J. Steer,Jed John,Steer,31,66,39
J. Colback,Jack Raymond,Colback,34,65,39
L. Taylor,Lyle James Alfred,Taylor,33,65,39
M. Longstaff,Matthew Ben,Longstaff,23,34,39
E. Wady,Ethan James,Wady,21,49,39
Wesley Moraes,Wesley,Moraes Ferreira da Silva,27,66,39
K. Hoever,Ki-Jana Delano,Hoever,21,39,39
Alex Telles,Alex,Nicolao Telles,31,33,39
David de Gea,David,de Gea Quintana,33,33,39
M. Sanson,Morgan Stéphane,Sanson,29,66,39
R. Giles,Ryan John,Giles,23,"39, 1359",39
R. Laryea,Richmond Mamah,Laryea,28,65,39
J. Bowler,Joshua Luke,Bowler,24,65,39
A. Pressley,Aaron Alex,Pressley,22,55,39
I. Kaboré,Issa,Kaboré,22,"50, 1359",39
W. Fish,William Thomas,Fish,20,33,39
M. Bidstrup,Mads,Bidstrup,22,55,39
Yan Couto,Yan,Bueno Couto,21,50,39
I. Samuels,Imari-Narain,Che Hines-Samuels,20,51,39
C. Cîrjan,Cătălin Ionuț,Cîrjan,21,42,39
C. Rushworth,Carl Andrew,Rushworth,22,51,39
J. Wilson-Esbrand,Joshua Darius,Kamani Wilson-Esbrand,21,50,39
K. Edwards,Khayon,Edwards,20,42,39
F. Potts,Freddie,Potts,20,48,39
C. Patino,Charlie Michael,Patino,20,42,39
Ivan Cavaleiro,Ivan Ricardo,Neves Abreu Cavaleiro,30,36,39
B. Bolla,Bendegúz Bence,Bolla,24,39,39
J. White,Joe Peter,White,21,34,39
R. Savage,Remi Eugene,Savage,22,34,39
D. Scarlett,Dane Pharrell,Scarlett,19,47,39
I. Odutayo,Idris Adewale,Olarewaju Odutayo,21,36,39
M. Frauendorf,Melkamu Benjamin Daniel,Frauendorf,19,40,39
J. Turner-Cooke,Jay,Turner-Cooke,20,34,39
J. Miley,Jamie,Miley,19,34,39
S. Parkes,Stefan Charles Earl,Parkes,19,36,39
A. Borto,Alexander Paul,Borto,20,36,39
J. Keeley,Joshua,Keeley,20,47,39
M. Boateng,Malachi,Boateng,21,52,39
A. Murphy,Alex,Murphy,19,34,39
D. McCoy-Splatt,Delano,McCoy-Splatt,19,36,39
B. Baker-Boaitey,Benicio,Baker-Boaitey,19,51,39
M. Godo,Becket Fabrice-Martial,Godo,20,36,39
Z. Marsh,Zachariah Daniel Robert,Marsh,18,52,39
S. Amissah,Samuel,Amissah,16,36,39
F. Marjoram,Finley,Marjoram,17,52,39
J. Cumming,James Andrew,Cumming,24,49,39
G. Słonina,Gabriel Paweł,Słonina,19,49,39
F. Anjorin,Faustino Adebola Rasheed,Anjorin,22,49,39
T. Morton,Tyler Scott,Morton,21,"40, 7196",39
C. Casadei,Cesare,Casadei,20,49,39
L. Pye,Logan,Pye,20,33,39
J. Hugill,Joseph,Brennen Hugill,20,33,39
N. Emeran,Noam,Fritz Emeran,21,33,39
L. Laing,Levi Alexander,Laing,20,48,39
D. Mee,Dermot William,Mee,21,33,39
T. Collyer,Tobias Christopher,Collyer,19,33,39
J. Knightbridge,Jacob Christopher,Knightbridge,19,48,39
Ângelo,Ângelo Gabriel,Borges Damaceno,19,49,39
C. McNeill,Charlie Martin,McNeill,20,33,39
W. Kambwala,Willy,Kambwala Ndengushi,19,33,39
G. Earthy,George,Earthy,19,48,39
M. Oyedele,Maximillian,Oyedele,19,33,39
L. Koumas,Lewis,Koumas,18,40,39
S. Aljofree,Sonny,Aljofree,19,33,39
Elyh Harrison,Elyh Samuel,Harrison,17,33,39
L. Mbe Soh,Loïc Junior,Mbe Soh,22,65,39
R. Lukaku,Romelu Menama,Lukaku Bolingoli,30,49,39
M. Dräger,Mohamed,Dräger,27,65,39
A. Knockaert,Anthony Patrick,Knockaert,32,36,39
J. Lowe,Jamal Akua,Lowe,29,35,39
W. Weghorst,Wout,Weghorst,31,44,39
K. Simon-Swyer,Kamarai,Simon-Swyer,21,48,39
T. Doyle,Thomas Glyn,Doyle,22,"50, 39",39
P. Maghoma,Edmond-Paris,Maghoma,22,55,39
H. Vale,Harvey James,Vale,20,49,39
A. Ramsey,Aaron James,Ramsey,20,"66, 44",39
S. McAllister,Sean Paul,McAllister,21,45,39
Mateo Mejía,José Mateo,Mejía Piedrahita,20,33,39
T. Adaramola,Omotayo Daniel,Adaramola,20,52,39
Mauro Bandeira,Mauro,Gomes Bandeira,19,42,39
K. Rodney,Kaden Kai,Rodney,19,52,39
D. Osong,Detlef Esapa,Osong,19,65,39
A. Bott,Aaron Charlie,Bott,19,65,39
J. Powell,Joshua Alan,Powell,18,65,39
G. Kuol,Garang,Mawien Kuol,19,34,39
Bruno Jordão,Bruno André,Cavaco Jordão,25,39,39
L. Freeman,Luke Anthony,Freeman,31,1359,39
J. Furlong,Walter James,Byrne Furlong,21,51,39
B. Chrisene,Benjamin Joshua,Chrisene,19,66,39
M. Azeez,Miguel,Azeez,21,42,39
N. Young-Coombes,Nathan,Young-Coombes,20,55,39
M. Craig,Matthew George,Craig,20,47,39
I. Hansen-Aarøen,Isak,Hansen-Aarøen,19,33,39
D. Sassi,Daniel,Sassi,20,44,39
R. Bennett,Rhys Joseph,Wright Bennett,20,33,39
J. Wright,James,Wright,19,66,39
S. Swinkels,Sil,Laurentius Swinkels,19,66,39
Luizão,Luiz Gustavo,Oliveira da Silva,21,48,39
J. Hinchy,Jack Samuel Lawrence,Hinchy,20,51,39
D. Sadi,Dominic,Sadi,20,35,39
D. Adu-Adjei,Daniel,Adu-Adjei,18,35,39
J. Wadham,Jack,Wadham,20,35,39
M. Kinsey-Wellings,Maxwell,Kinsey-Wellings,18,35,39
F. Okoh,Ferdinand,Okoh,19,35,39
Michael Dacosta,Michael,Dacosta Gonzales,18,35,39
Aymeric Laporte,Aymeric Jean Louis Gérard Alph,Laporte,29,50,39
José Sá,José Pedro,Malheiro de Sá,30,39,39
J. Gbamin,Jean-Philippe,Gbamin,28,45,39
T. Awoniyi,Taiwo Micheal,Awoniyi,26,65,39
I. Hayden,Isaac Scott,Hayden,28,34,39
H. Arter,Harry Nicholas,Arter,34,65,39
