id,league_name,country_name
52,Non League Div One - Isthmian North,England
933,Non League Div One - Southern Central,England
56,Non League Div One - Southern South,England
57,Non League Div One - Isthmian South East,England
54,Non League Div One - Northern West,England
55,Non League Div One - Northern Midlands,England
932,Non League Div One - Northern East,England
53,Non League Div One - Isthmian South Central,England
1024,UEFA - CONMEBOL - Club Challenge,World
625,Carioca - 2,Brazil
400,Super League,Zambia
318,1. Division,Cyprus
492,Tweede Divisie,Netherlands
343,First League,Armenia
290,Persian Gulf Pro League,Iran
419,Premyer Liqa,Azerbaidjan
297,Thai League 2,Thailand
273,Magyar Kupa,Hungary
272,NB II,Hungary
178,Third League - Southwest,Bulgaria
435,Primera División RFEF - Group 1,Spain
436,Primera División RFEF - Group 2,Spain
67,National 2 - Group A,France
68,National 2 - Group B,France
69,National 2 - Group C,France
70,National 2 - Group D,France
85,Regionalliga - Nordost,Germany
83,Regionalliga - Bayern,Germany
86,Regionalliga - SudWest,Germany
84,Regionalliga - Nord,Germany
87,Regionalliga - West,Germany
91,Eredivisie Women,Netherlands
875,Segunda División RFEF - Group 1,Spain
876,Segunda División RFEF - Group 2,Spain
877,Segunda División RFEF - Group 3,Spain
878,Segunda División RFEF - Group 4,Spain
879,Segunda División RFEF - Group 5,Spain
939,Oberliga - Bayern Süd,Germany
938,Oberliga - Bayern Nord,Germany
754,Oberliga - Nordost-Nord,Germany
755,Oberliga - Nordost-Süd,Germany
750,Oberliga - Hessen,Germany
744,Oberliga - Schleswig-Holstein,Germany
745,Oberliga - Hamburg,Germany
752,Oberliga - Rheinland-Pfalz / Saar,Germany
746,Oberliga - Mittelrhein,Germany
751,Oberliga - Niederrhein,Germany
747,Oberliga - Westfalen,Germany
753,Oberliga - Baden-Württemberg,Germany
748,Oberliga - Niedersachsen,Germany
335,Cup,Ukraine
212,Cup,Croatia
336,Druha Liga,Ukraine
284,Liga II,Romania
644,3. liga - West,Slovakia
176,Third League - Northwest,Bulgaria
749,Oberliga - Bremen,Germany
1025,Second League A - Fall Season Gold,Russia
1026,Second League A - Fall Season Silver,Russia
179,Premiership,Scotland
92,Derde Divisie - Saturday,Netherlands
93,Derde Divisie - Sunday,Netherlands
656,Super Cup,Bulgaria
762,Premier League,Mauritania
559,League Cup,Northern-Ireland
675,U21 Divisie 1,Netherlands
313,2a Divisió,Andorra
705,Campionato Primavera - 1,Italy
395,Liga 1,Moldova
566,Ligue A,Burundi
205,2. Lig,Turkey
552,3. Lig - Group 1,Turkey
553,3. Lig - Group 2,Turkey
554,3. Lig - Group 3,Turkey
287,Prva Liga,Serbia
20,CAF Confederation Cup,World
12,CAF Champions League,World
46,EFL Trophy,England
1027,3. Lig - Group 4,Turkey
940,COTIF Tournament,World
163,Liga de Ascenso,Costa-Rica
137,Coppa Italia,Italy
423,Ligue 1,Burkina-Faso
142,Primera División Femenina,Spain
270,Primera División - Clausura,Uruguay
286,Super Liga,Serbia
371,First League,Macedonia
509,8 Cup,South-Africa
302,League Cup,United-Arab-Emirates
645,3. liga - East,Slovakia
181,FA Cup,Scotland
534,CONCACAF Caribbean Club Shield,World
724,U18 Divisie 1,Netherlands
461,National 3 - Group A,France
462,National 3 - Group B,France
463,National 3 - Group C,France
464,National 3 - Group D,France
465,National 3 - Group E,France
466,National 3 - Group F,France
467,National 3 - Group H,France
468,National 3 - Group I,France
469,National 3 - Group J,France
470,National 3 - Group K,France
1028,Concacaf Central American Cup,World
617,Copa do Brasil U20,Brazil
305,Stars League,Qatar
722,Liga Premier Serie A,Mexico
872,Liga Premier Serie B,Mexico
1029,National 3 - Group G,France
288,Premier Soccer League,South-Africa
3,UEFA Europa League,World
202,Ligue 1,Tunisia
703,Professional Development League,England
570,Premier League,Ghana
216,Third NL - Sredite,Croatia
215,Third NL - Sjever,Croatia
213,Third NL - Istok,Croatia
217,Third NL - Zapad,Croatia
575,Srpska Liga - West,Serbia
574,Srpska Liga - East,Serbia
