player_id,reference_team_id,reference_date
134062,3322,2019-09-03
211684,708,2014-02-20
3989,3323,2015-02-03
3506,3337,2022-08-31
3581,2256,2018-01-05
74329,3337,2017-01-31
3733,3318,2018-08-17
3626,694,2016-07-22
74097,3325,2016-09-06
74519,694,2016-07-08
197611,3321,2021-09-05
4300,2256,2014-06-01
302088,577,2021-09-05
3484,15580,2021-07-18
210618,577,2012-08-29
210871,3318,2014-01-31
210983,577,2012-08-27
295338,15576,2022-07-11
211115,3324,2012-01-31
211154,3318,2012-08-30
74632,14395,2018-07-03
211313,3326,2012-08-10
211318,3324,2012-01-25
211367,577,2013-08-31
211413,708,2012-08-30
211436,708,2012-08-31
211700,577,2014-01-27
211733,13185,2014-01-01
211738,577,2013-01-30
74095,3318,2016-08-05
74617,4566,2019-01-07
4305,3336,2022-08-31
3964,3317,2015-07-13
4322,3318,2018-07-27
4209,3318,2018-08-16
97158,15577,2022-01-10
3486,493,2020-10-02
74514,3317,2015-08-22
3792,708,2013-01-01
4023,3326,2012-08-30
147956,577,2020-08-01
74555,577,2015-01-23
74085,3325,2016-02-01
74110,694,2015-07-01
74568,2256,2014-08-01
4287,708,2012-08-01
77705,10672,2016-01-01
55532,577,2022-07-01
211665,577,2015-01-22
26866,577,2021-08-06
74547,609,2017-08-01
14376,270,2017-08-02
3705,3320,2019-07-02
105284,577,2020-08-13
68361,6410,2018-07-01
66985,3740,2013-02-15
98163,693,2012-01-01
210996,2256,2014-08-22
258996,577,2013-02-01
228511,577,2016-01-30
67029,3738,2016-08-01
74340,3320,2015-01-21
80102,1018,2017-08-01
3509,4566,2019-06-07
59926,577,2017-07-01
48740,577,2020-10-08
74608,2212,2017-01-13
74526,577,2015-07-01
74508,2228,2018-01-10
210859,3322,2014-09-26
3808,3323,2020-07-01
105630,4482,2017-09-15
74592,2228,2016-01-01
117891,3838,2015-02-06
3498,577,2018-01-09
3488,14281,2019-08-16
74533,3320,2017-08-14
66785,2448,2018-03-18
14742,577,2018-01-12
3858,3325,2018-01-15
3518,708,2016-02-01
7788,577,2017-08-09
43265,4566,2022-08-19
56022,3326,2021-07-16
3564,3329,2018-01-31
3485,3320,2019-08-13
7917,680,2020-10-05
3510,2256,2022-08-20
74625,627,2018-07-01
65321,577,2021-08-31
97842,568,2015-08-01
3673,2261,2018-07-01
11073,577,2022-07-23
211245,3836,2013-01-31
7471,4627,2021-09-08
171562,577,2015-01-22
3504,1318,2019-08-20
74518,577,2014-06-01
74650,577,2018-01-31
164943,577,2013-07-01
3881,3326,2017-09-12
74584,3331,2016-07-25
211517,3324,2011-08-31
211699,577,2014-01-27
210379,577,2014-08-01
74541,577,150616
74090,1424,2015-07-20
3493,12772,2019-08-16
74164,3319,2013-08-31
74133,3836,2015-08-22
74572,577,2016-02-01
74493,2256,2017-01-31
74326,3839,2016-02-04
74585,577,2015-08-02
74581,577,020816
74596,15573,2018-08-20
74597,577,2015-07-01
74444,3320,2015-08-31
74551,577,2011-08-31
111255,577,2017-08-28
116651,577,2014-01-27
74538,3318,2018-01-06
3744,3339,2014-01-31
334505,577,2022-08-22
74327,3838,2013-01-31
74576,4671,2014-08-15
58367,1941,2015-01-01
3494,3153,2020-07-23
3612,14392,2022-08-13
56779,4619,2021-01-23
319520,577,2022-07-07
59537,577,2023-01-31
406158,3322,2023-07-17
406254,3323,2023-01-31
406255,3323,2023-01-31
421919,3336,2023-08-15
406157,577,2023-01-31
3474,3325,2023-01-16
3675,3329,2023-08-26
3522,3327,2022-07-01
61305,3551,2019-01-29
123691,577,2018-01-09
14433,128,2016-07-26
426740,577,2023-07-01
292224,3340,2022-08-09
74093,3319,2015-09-12
3528,3317,2018-11-20
80194,12772,2023-08-23
147957,12733,2021-09-06
63409,3326,2021-07-15
63502,12772,2023-08-21
74604,3885,2017-06-01
109569,4132,2023-08-01
271068,577,2016-07-01
3487,14281,2019-07-24
3503,12772,2020-09-22
3709,4132,2020-08-04
74665,2256,2018-08-31
3502,694,2021-07-01
3495,708,2019-07-01
14317,554,2020-08-01
3578,2256,2017-01-20
74663,3321,2023-01-26
3594,694,2022-08-31
48587,708,2023-07-06
74667,708,2023-08-19
3687,3327,2023-07-06
3743,708,2016-08-08
3507,3337,2019-09-01
3532,3336,2021-09-04
420155,3324,2023-08-01
152724,577,2023-08-31
353662,3836,2023-01-31
145742,577,2023-07-01
292223,3322,2022-07-07
74500,3318,2016-09-20
3868,3322,2017-09-14
152713,10720,2022-08-31
3791,3329,2020-08-22
147803,3331,2023-08-30
3951,3836,2013-08-30
74427,3836,2013-08-30
39402,577,2023-08-23
3490,3327,2020-08-31
