,player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season
0,134062,3322,2019-09-03,,,,,,
1,211684,708,2014-02-20,,,,,,
2,3989,3323,2015-02-03,,,,,,
3,3506,3337,2022-08-31,,,,,,
4,3581,2256,2018-01-05,,,,,,
5,74329,3337,2017-01-31,,,,,,
6,3733,3318,2018-08-17,,,,,,
7,3626,694,2016-07-22,,,,,,
8,74097,3325,2016-09-06,,,,,,
9,74519,694,2016-07-08,,,,,,
10,197611,3321,2021-09-05,,,,,,
11,4300,2256,2014-06-01,,,,,,
12,302088,577,2021-09-05,,,,,,
13,3484,15580,2021-07-18,,,,,,
14,210618,577,2012-08-29,,,,,,
15,210871,3318,2014-01-31,,,,,,
16,210983,577,2012-08-27,,,,,,
17,295338,15576,2022-07-11,,,,,,
18,211115,3324,2012-01-31,,,,,,
19,211154,3318,2012-08-30,,,,,,
20,74632,14395,2018-07-03,,,,,,
21,211313,3326,2012-08-10,,,,,,
22,211318,3324,2012-01-25,,,,,,
23,211367,577,2013-08-31,,,,,,
24,211413,708,2012-08-30,,,,,,
25,211436,708,2012-08-31,,,,,,
26,211700,577,2014-01-27,,,,,,
27,211733,13185,2014-01-01,,,,,,
28,211738,577,2013-01-30,,,,,,
29,74095,3318,2016-08-05,,,,,,
30,74617,4566,2019-01-07,,,,,,
31,4305,3336,2022-08-31,,,,,,
32,3964,3317,2015-07-13,,,,,,
33,4322,3318,2018-07-27,,,,,,
34,4209,3318,2018-08-16,,,,,,
35,97158,15577,2022-01-10,,,,,,
36,3486,493,2020-10-02,,,,,,
37,74514,3317,2015-08-22,,,,,,
38,3792,708,2013-01-01,,,,,,
39,4023,3326,2012-08-30,,,,,,
40,147956,577,2020-08-01,,,,,,
41,74555,577,2015-01-23,,,,,,
42,74085,3325,2016-02-01,,,,,,
43,74110,694,2015-07-01,,,,,,
44,74568,2256,2014-08-01,,,,,,
45,4287,708,2012-08-01,,,,,,
46,77705,10672,2016-01-01,,,,,,
47,55532,577,2022-07-01,,,,,,
48,211665,577,2015-01-22,,,,,,
49,26866,577,2021-08-06,,,,,,
50,74547,609,2017-08-01,,,,,,
51,14376,270,2017-08-02,,,,,,
52,3705,3320,2019-07-02,,,,,,
53,105284,577,2020-08-13,14146.0,Kenan,Horić,33.0,Bosnia and Herzegovina,2023.0
54,68361,6410,2018-07-01,,,,,,
55,66985,3740,2013-02-15,,,,,,
56,98163,693,2012-01-01,,,,,,
57,210996,2256,2014-08-22,,,,,,
58,258996,577,2013-02-01,,,,,,
59,228511,577,2016-01-30,,,,,,
60,67029,3738,2016-08-01,,,,,,
61,74340,3320,2015-01-21,,,,,,
62,80102,1018,2017-08-01,,,,,,
63,3509,4566,2019-06-07,,,,,,
64,59926,577,2017-07-01,,,,,,
65,48740,577,2020-10-08,,,,,,
66,74608,2212,2017-01-13,,,,,,
67,74526,577,2015-07-01,,,,,,
68,74508,2228,2018-01-10,,,,,,
69,210859,3322,2014-09-26,,,,,,
70,3808,3323,2020-07-01,,,,,,
71,105630,4482,2017-09-15,,,,,,
72,74592,2228,2016-01-01,,,,,,
73,117891,3838,2015-02-06,,,,,,
74,3498,577,2018-01-09,,,,,,
75,3488,14281,2019-08-16,,,,,,
76,74533,3320,2017-08-14,,,,,,
77,66785,2448,2018-03-18,,,,,,
78,14742,577,2018-01-12,,,,,,
79,3858,3325,2018-01-15,,,,,,
80,3518,708,2016-02-01,,,,,,
81,7788,577,2017-08-09,,,,,,
82,43265,4566,2022-08-19,,,,,,
83,56022,3326,2021-07-16,,,,,,
84,3564,3329,2018-01-31,,,,,,
