player_id,reference_team,reference_date,team_id,p_firstname,p_lastname,p_age,p_nationality,season,count
134062,3322,2019-09-03,,,,,,2019.0,1.0
211684,708,2014-02-20,,,,,,2013.0,1.0
3989,3323,2015-02-03,,,,,,2014.0,1.0
3506,3337,2022-08-31,,Toni,Selimi,25.0,Albania,2022.0,1.0
3581,2256,2018-01-05,,Ndriçim,Shtubina,42.0,Albania,2017.0,1.0
74329,3337,2017-01-31,,Mergent,Sulmataj,32.0,Albania,2016.0,1.0
3733,3318,2018-08-17,,Sebino,Plaku,43.0,Albania,2018.0,4.0
4322,3318,2018-07-27,,Albi,Koldashi,32.0,Albania,2018.0,4.0
4209,3318,2018-08-16,,Klevis,Sadiku,32.0,Albania,2018.0,4.0
3723,3318,2018-08-01,,Argjend,Malaj,37.0,Kosovo,2018.0,4.0
3626,694,2016-07-22,,Gentjan,Muça,43.0,Albania,2016.0,2.0
74519,694,2016-07-08,,Ansi,Nika,38.0,Albania,2016.0,2.0
74097,3325,2016-09-06,,Arbër,Mone,42.0,Albania,2016.0,1.0
197611,3321,2021-09-05,,Irvi,Bylyku,24.0,Albania,2021.0,2.0
265515,3321,2021-07-01,,Redi,Kaçanolli,23.0,Albania,2021.0,2.0
4300,2256,2014-06-01,,,,,,2013.0,1.0
302088,577,2021-09-05,,Rigels,Cani,25.0,Albania,2021.0,3.0
26866,577,2021-08-06,,Pablo,de Lucas Torres,39.0,Spain,2021.0,3.0
65321,577,2021-08-31,,Kristi,Marku,31.0,Albania,2021.0,3.0
3484,15580,2021-07-18,,Jetmir,Basha,27.0,Albania,2021.0,1.0
210618,577,2012-08-29,,Luko,Biskup,52.0,Croatia,2012.0,6.0
210983,577,2012-08-27,,Besart,Peposhi,41.0,Albania,2012.0,6.0
211738,577,2013-01-30,,Inzaghi,Donígio,48.0,Guinea-Bissau,2012.0,6.0
258996,577,2013-02-01,,Serxhio,Abdurahmani,43.0,Albania,2012.0,6.0
74544,577,2012-07-01,,Rraman,Hallaçi,53.0,Albania,2012.0,6.0
106216,577,2013-01-30,,Matteo,Prandelli,48.0,Italy,2012.0,6.0
210871,3318,2014-01-31,,Fatjon,Bytyçi,38.0,Albania,2013.0,1.0
295338,15576,2022-07-11,,Kreshnik,Bahtiri,33.0,Kosovo,2022.0,1.0
