player_id,team_id,p_firstname,p_lastname,p_age,p_nationality,season
3366,577,Abdou,M'Bark El Id,25.0,Mauritania,2023
3720,577,Plarent,Fejzaj,27.0,Albania,2023
74667,577,Altin,Bytyçi,22.0,Kosovo,2023
88560,577,Theodoros,Mingos,26.0,Greece,2023
88597,577,Alexandre,de Oliveira Macedo Júnior,28.0,Brazil,2023
128188,577,Arbër,Mehmetllari,24.0,Albania,2023
144066,577,Matheus,da Motta Donha Fernandes,27.0,Brazil,2023
156439,577,Nicolai,Solodovnicov,24.0,Moldova,2023
163432,577,Atdhe,Rashiti,25.0,Albania,2023
195063,577,Mario,Beshiraj,25.0,Albania,2023
334505,577,Abdou,M'bark el id,24.0,Mauritania,2023
335196,577,Endri,Murati,23.0,Albania,2023
347708,577,Isiyaku,Yusuf Nayara,22.0,Nigeria,2023
393231,577,Daniel,Momoh,22.0,Nigeria,2023
401059,577,Uran,Dogjani,19.0,Albania,2023
406255,577,Shamsuddeen,Sani,21.0,Nigeria,2023
426740,577,Blerim,Sahitaj,24.0,Kosovo,2023
435254,577,Mustapha,Gbolahan,23.0,Nigeria,2023
436466,577,Carlos Nazayro,Rivas Cedasmano,24.0,Peru,2023
436467,577,Klevis,Hilaj,20.0,Albania,2023
3832,577,Redon,Dragoshi,24.0,Albania,2023
3875,577,Franci,Lala,25.0,Albania,2023
3953,577,Geri,Selita,23.0,Albania,2023
27028,577,Franko,Lamçe,26.0,Albania,2023
27386,577,Stefan,Abara,25.0,Albania,2023
31839,577,Vasilios,Zogos,25.0,Greece,2023
39402,577,Sebastián Milton,La Torre Miranda,26.0,Peru,2023
41828,577,Felipe Ryan,Alves Silva,27.0,Brazil,2023
145742,577,Redi,Veriu,24.0,Albania,2023
147807,577,Endri,Reçi,24.0,Albania,2023
152724,577,Xhoi,Hajdëraj,24.0,Albania,2023
169199,577,Kleandro,Lleshi,25.0,Albania,2023
189040,577,Nikolin,Duka,24.0,Albania,2023
204200,577,Angelo,Tafas,24.0,Albania,2023
290149,577,Françesko,Hasaj,23.0,Albania,2023
311563,577,Kristian,Rroku,21.0,Albania,2023
334754,577,Eogen,Sula,21.0,Albania,2023
364307,577,Marvin,Brozi,23.0,Albania,2023
405938,577,Igli,Çulaj,22.0,Albania,2023
438173,577,Alvin,Mehmetaj,20.0,Albania,2023
3508,577,Fluturim,Domi,24.0,Albania,2023
3692,577,Arbër,Basha,26.0,Albania,2023
295287,577,Melos,Zenunaj,24.0,Kosovo,2023
404516,577,Alen,Ndreu,20.0,Albania,2023
405233,577,Erduan,Smajli,21.0,Switzerland,2023
3539,605,Erlis,Frashëri,36.0,Albania,2023
3615,605,Jorgo,Qeleshi,22.0,Albania,2023
3885,605,Gresild,Lika,27.0,Albania,2023
32361,605,Jourdain Ronaldo,Fletcher,26.0,Jamaica,2023
109578,605,Suhejlj,Muharem,23.0,North Macedonia,2023
136060,605,Riliwan Oyindamola,Rabiu,24.0,Nigeria,2023
281283,605,Dean,Liço,24.0,Albania,2023
290767,605,Franko,Kapllani,22.0,Albania,2023
291976,605,Rei,Pecani,22.0,Albania,2023
291977,605,Kostika,Beçka,21.0,Albania,2023
314303,605,Uche Great,Sabastine,24.0,Nigeria,2023
321770,605,Ardit,Nikaj,22.0,Albania,2023
363898,605,Kevin,Hysolli,20.0,Albania,2023
382272,605,Ermir,Rashica,20.0,Albania,2023
385740,605,Nnamdi Franklin,Ahanonu,22.0,Nigeria,2023
385745,605,Sumaila,Abubakari,20.0,Ghana,2023
393227,605,Leo,Zguri,21.0,Albania,2023
405940,605,Samuel,Moses Ajine,20.0,Nigeria,2023
439536,605,Ivan Cabrel,Djantou Tchaboutang,22.0,Cameroon,2023
444167,605,Emmanuel Ifeanyi,Godday,20.0,Nigeria,2023
1832,605,Marco,Alia,24.0,Albania,2023
3539,605,Erlis,Frashëri,36.0,Albania,2023
3597,605,Kosta,Vangjeli,24.0,Albania,2023
4353,605,Klevis,Shaqe,25.0,Albania,2023
74636,605,Elvis,Prençi,31.0,Albania,2023
152714,605,Marcos Matheus,de Oliveira Ramos,25.0,Brazil,2023
161679,605,Ramin,Alii,23.0,North Macedonia,2023
197613,605,Randy,Dwumfour,24.0,Ghana,2023
204066,605,Andrea,Gerco,24.0,Albania,2023
290148,605,Yuri Merlim,dos Santos Carvalho,26.0,Brazil,2023
290151,605,Herdis,Alliu,26.0,Albania,2023
354203,605,Dejvid,Janaqi,21.0,Albania,2023
363899,605,Ergi,Zenullari,21.0,Albania,2023
368910,605,Amarildo,Dervishaj,18.0,Albania,2023
368911,605,Erest,Lamellari,20.0,Albania,2023
452230,605,Astjon,Sulçe,19.0,Albania,2023
3576,694,Ardit,Deliu,27.0,Albania,2023
3578,694,Fjoart,Jonuzi,28.0,Albania,2023
3579,694,Regi,Lushkja,28.0,Albania,2023
3620,694,Albi,Doka,27.0,Albania,2023
3814,694,Florjan,Pergjoni,27.0,Albania,2023
