team_id,player_id,p_firstname,p_lastname,p_age,p_nationality,season
577,3508,Fluturim,Domi,24.0,Albania,2023
577,39402,Sebastián Milton,La Torre Miranda,26.0,Peru,2023
577,74667,Altin,Bytyçi,22.0,Kosovo,2023
577,88597,Alexandre,de Oliveira Macedo Júnior,28.0,Brazil,2023
577,128188,Arbër,Mehmetllari,24.0,Albania,2023
577,145742,Redi,Veriu,24.0,Albania,2023
577,152724,Xhoi,Hajdëraj,24.0,Albania,2023
577,156439,Nicolai,Solodovnicov,24.0,Moldova,2023
577,163432,Atdhe,Rashiti,25.0,Albania,2023
577,334505,Abdou,M'bark el id,24.0,Mauritania,2023
577,347708,Isiyaku,Yusuf Nayara,22.0,Nigeria,2023
577,364307,Marvin,Brozi,23.0,Albania,2023
577,401059,Uran,Dogjani,19.0,Albania,2023
577,404516,Alen,Ndreu,20.0,Albania,2023
577,405233,Erduan,Smajli,21.0,Switzerland,2023
577,406255,Shamsuddeen,Sani,21.0,Nigeria,2023
577,426740,Blerim,Sahitaj,24.0,Kosovo,2023
577,435254,Mustapha,Gbolahan,23.0,Nigeria,2023
577,436466,Carlos Nazayro,Rivas Cedasmano,24.0,Peru,2023
577,436467,Klevis,Hilaj,20.0,Albania,2023
577,3366,Abdou,M'Bark El Id,25.0,Mauritania,2023
577,3692,Arbër,Basha,26.0,Albania,2023
577,3720,Plarent,Fejzaj,27.0,Albania,2023
577,3875,Franci,Lala,25.0,Albania,2023
577,3953,Geri,Selita,23.0,Albania,2023
577,27028,Franko,Lamçe,26.0,Albania,2023
577,27386,Stefan,Abara,25.0,Albania,2023
577,31839,Vasilios,Zogos,25.0,Greece,2023
577,41828,Felipe Ryan,Alves Silva,27.0,Brazil,2023
577,88560,Theodoros,Mingos,26.0,Greece,2023
577,144066,Matheus,da Motta Donha Fernandes,27.0,Brazil,2023
577,147807,Endri,Reçi,24.0,Albania,2023
577,169199,Kleandro,Lleshi,25.0,Albania,2023
577,189040,Nikolin,Duka,24.0,Albania,2023
577,195063,Mario,Beshiraj,25.0,Albania,2023
577,290149,Françesko,Hasaj,23.0,Albania,2023
577,295287,Melos,Zenunaj,24.0,Kosovo,2023
577,334754,Eogen,Sula,21.0,Albania,2023
577,335196,Endri,Murati,23.0,Albania,2023
577,393231,Daniel,Momoh,22.0,Nigeria,2023
577,3832,Redon,Dragoshi,24.0,Albania,2023
577,204200,Angelo,Tafas,24.0,Albania,2023
577,311563,Kristian,Rroku,21.0,Albania,2023
577,405938,Igli,Çulaj,22.0,Albania,2023
577,438173,Alvin,Mehmetaj,20.0,Albania,2023
605,1832,Marco,Alia,24.0,Albania,2023
605,3539,Erlis,Frashëri,36.0,Albania,2023
605,3597,Kosta,Vangjeli,24.0,Albania,2023
605,3615,Jorgo,Qeleshi,22.0,Albania,2023
605,4353,Klevis,Shaqe,25.0,Albania,2023
605,74636,Elvis,Prençi,31.0,Albania,2023
605,109578,Suhejlj,Muharem,23.0,North Macedonia,2023
605,152714,Marcos Matheus,de Oliveira Ramos,25.0,Brazil,2023
605,204066,Andrea,Gerco,24.0,Albania,2023
605,290151,Herdis,Alliu,26.0,Albania,2023
605,290767,Franko,Kapllani,22.0,Albania,2023
605,314303,Uche Great,Sabastine,24.0,Nigeria,2023
605,321770,Ardit,Nikaj,22.0,Albania,2023
605,363898,Kevin,Hysolli,20.0,Albania,2023
605,382272,Ermir,Rashica,20.0,Albania,2023
605,385745,Sumaila,Abubakari,20.0,Ghana,2023
605,405940,Samuel,Moses Ajine,20.0,Nigeria,2023
605,439536,Ivan Cabrel,Djantou Tchaboutang,22.0,Cameroon,2023
605,444167,Emmanuel Ifeanyi,Godday,20.0,Nigeria,2023
605,452230,Astjon,Sulçe,19.0,Albania,2023
605,3885,Gresild,Lika,27.0,Albania,2023
605,32361,Jourdain Ronaldo,Fletcher,26.0,Jamaica,2023
605,136060,Riliwan Oyindamola,Rabiu,24.0,Nigeria,2023
605,161679,Ramin,Alii,23.0,North Macedonia,2023
605,197613,Randy,Dwumfour,24.0,Ghana,2023
605,281283,Dean,Liço,24.0,Albania,2023
605,290148,Yuri Merlim,dos Santos Carvalho,26.0,Brazil,2023
605,291976,Rei,Pecani,22.0,Albania,2023
605,291977,Kostika,Beçka,21.0,Albania,2023
605,354203,Dejvid,Janaqi,21.0,Albania,2023
605,363899,Ergi,Zenullari,21.0,Albania,2023
605,368910,Amarildo,Dervishaj,18.0,Albania,2023
605,368911,Erest,Lamellari,20.0,Albania,2023
605,385740,Nnamdi Franklin,Ahanonu,22.0,Nigeria,2023
605,393227,Leo,Zguri,21.0,Albania,2023
605,393233,Rigels,Hasaj,19.0,Albania,2023
694,3576,Ardit,Deliu,27.0,Albania,2023
694,3578,Fjoart,Jonuzi,28.0,Albania,2023
694,3579,Regi,Lushkja,28.0,Albania,2023
694,3814,Florjan,Pergjoni,27.0,Albania,2023
694,14317,Kristal,Abazaj,28.0,Albania,2023
694,28476,Liridon,Latifi,30.0,Albania,2023
694,74663,Rimal,Haxhiu,25.0,Albania,2023
694,109588,Filip,Najdovski,32.0,North Macedonia,2023
694,200074,Patrick Robson,de Souza Monteiro,26.0,Brazil,2023
694,271840,Kainã,Nunes da Silva Amarante,27.0,Brazil,2023
694,290756,Dijar,Nikqi,20.0,Albania,2023
694,315352,Klevi,Qefalija,21.0,Albania,2023
694,338304,Leo,Ballhysa,20.0,Albania,2023
694,340693,Rigers,Sulaj,19.0,Albania,2023
694,343563,Tomas,Kiri,19.0,Albania,2023
694,386260,Jordi,Jaku,18.0,Albania,2023
694,390635,Melsi,Cereni,20.0,Albania,2023
694,397425,Hajrulla,Tola,20.0,Albania,2023
694,405942,Erlind,Qehaja,19.0,Albania,2023
694,426450,Dion,Ahmetaj,21.0,USA,2023
694,3469,Ardit,Hila,31.0,Albania,2023
694,3562,Gentian,Selmani,26.0,Albania,2023
694,3594,Bruno,Lulaj,29.0,Albania,2023
694,3617,Ilion,Lika,44.0,Albania,2023
694,3620,Albi,Doka,27.0,Albania,2023
694,3622,Erion,Hoxhallari,29.0,Albania,2023
694,28588,Florent,Hasani,27.0,Kosovo,2023
694,74545,Gledi,Mici,33.0,Albania,2023
694,315990,Leon,Kozi,21.0,Albania,2023
694,404566,Ermal,Meta,19.0,Albania,2023
694,405635,Mustafë,Abdullahu,20.0,Kosovo,2023
708,3895,Xhuliano,Skuka,26.0,Albania,2023
708,3955,Tedi,Cara,24.0,Albania,2023
708,56773,Victor Matheus,da Silva Matos,29.0,Brazil,2023
708,61288,Jozef,Menich,30.0,Slovakia,2023
708,109515,Sabit,Bilali,27.0,North Macedonia,2023
708,196502,Anxhelo,Ibrahimi,21.0,Albania,2023
708,280272,Alfred,Mensah,25.0,Ghana,2023
708,282247,Galip,Arapi,22.0,Albania,2023
708,290783,Albers,Keko,23.0,Albania,2023
708,291531,Chandrel Géraud,Massanga Matondo,25.0,Congo,2023
708,291978,Luis,Birçaj,21.0,Albania,2023
708,297954,Archange Dieudonne,Bintsouka Koxy,22.0,Congo,2023
