player_id,full_name,firstname,lastname,age,team_id,league_id
54,Diego Costa,Diego,da Silva Costa,35,39,39
178,Lucas Moura,Lucas,Rodrigues Moura da Silva,31,47,39
297,A. Oxlade-Chamberlain,Alexander Mark David,Oxlade-Chamberlain,30,40,39
888,P. Jones,Phil Anthony,Jones,31,33,39
900,J. Lingard,Jesse Ellis,Lingard,31,65,39
2473,M. Lanzini,Manuel,Lanzini,30,48,39
2677,João Moutinho,João Filipe,Iria Santos Moutinho,37,39,39
18753,Adama Traoré,Adama,Traoré Diarra,28,"39, 36",39
18762,T. Davies,Thomas,Davies,26,"45, 62",39
18849,J. McArthur,James,McFarlane McArthur,36,52,39
18852,L. Milivojević,Luka,Milivojević,32,52,39
18854,A. Townsend,Andros Darryl,Townsend,33,"45, 1359",39
18858,A. Begović,Asmir,Begović,36,45,39
18878,J. Stanislas,Felix Junior,Stanislas,34,35,39
18891,C. Clark,Ciaran,Clark,34,62,39
19174,J. Steer,Jed John,Steer,31,66,39
19299,J. Colback,Jack Raymond,Colback,34,65,39
19842,L. Taylor,Lyle James Alfred,Taylor,33,65,39
130419,M. Longstaff,Matthew Ben,Longstaff,23,34,39
181822,E. Wady,Ethan James,Wady,21,49,39
84,Wesley Moraes,Wesley,Moraes Ferreira da Silva,27,66,39
285,K. Hoever,Ki-Jana Delano,Hoever,21,39,39
378,Alex Telles,Alex,Nicolao Telles,31,33,39
882,David de Gea,David,de Gea Quintana,33,33,39
1914,M. Sanson,Morgan Stéphane,Sanson,29,66,39
18747,R. Giles,Ryan John,Giles,24,"39, 1359",39
27778,B. Bolla,Bendegúz Bence,Bolla,24,39,39
83029,J. Bowler,Joshua Luke,Bowler,24,65,39
138934,A. Pressley,Aaron Alex,Pressley,22,55,39
140947,I. Kaboré,Issa,Kaboré,23,"50, 1359",39
153434,W. Fish,William Thomas,Fish,20,33,39
162189,M. Bidstrup,Mads,Bidstrup,22,55,39
197448,Yan Couto,Yan,Bueno Couto,21,50,39
278075,C. Cîrjan,Cătălin Ionuț,Cîrjan,21,42,39
278088,C. Rushworth,Carl Andrew,Rushworth,22,51,39
278128,J. Wilson-Esbrand,Joshua Darius,Kamani Wilson-Esbrand,21,50,39
284062,K. Edwards,Khayon,Edwards,20,42,39
284446,F. Potts,Freddie,Potts,20,48,39
284466,C. Patino,Charlie Michael,Patino,20,42,39
291022,J. Keeley,Joshua,Keeley,20,47,39
2276,J. Cumming,James Andrew,Cumming,24,49,39
18751,Ivan Cavaleiro,Ivan Ricardo,Neves Abreu Cavaleiro,30,36,39
64167,G. Słonina,Gabriel Paweł,Słonina,19,49,39
138777,F. Anjorin,Faustino Adebola Rasheed,Anjorin,22,49,39
152980,R. Savage,Remi Eugene,Savage,22,34,39
278086,I. Odutayo,Idris Adewale,Olarewaju Odutayo,21,36,39
284248,M. Frauendorf,Melkamu Benjamin Daniel,Frauendorf,19,40,39
284291,J. Turner-Cooke,Jay,Turner-Cooke,20,34,39
284305,J. Miley,Jamie,Miley,19,34,39
284471,S. Parkes,Stefan Charles Earl,Parkes,19,36,39
284536,J. Knightbridge,Jacob Christopher,Knightbridge,19,48,39
284559,A. Borto,Alexander Paul,Borto,20,36,39
288055,Ângelo,Ângelo Gabriel,Borges Damaceno,19,49,39
291363,G. Earthy,George,Earthy,19,48,39
298129,M. Boateng,Malachi,Boateng,21,52,39
327728,D. McCoy-Splatt,Delano,McCoy-Splatt,19,36,39
359386,M. Godo,Becket Fabrice-Martial,Godo,20,36,39
363974,Z. Marsh,Zachariah Daniel Robert,Marsh,18,52,39
384981,S. Amissah,Samuel,Amissah,16,36,39
404021,F. Marjoram,Finley,Marjoram,17,52,39
2952,M. Dräger,Mohamed,Dräger,27,65,39
25416,W. Weghorst,Wout,Weghorst,31,44,39
144725,K. Simon-Swyer,Kamarai,Simon-Swyer,21,48,39
162075,P. Maghoma,Edmond-Paris,Maghoma,22,55,39
162590,T. Morton,Tyler Scott,Morton,22,"40, 7196",39
274550,H. Vale,Harvey James,Vale,20,49,39
278079,A. Ramsey,Aaron James,Ramsey,21,"66, 44",39
282130,L. Pye,Logan,Pye,20,33,39
282136,N. Emeran,Noam,Fritz Emeran,21,33,39
284241,Mateo Mejía,José Mateo,Mejía Piedrahita,20,33,39
284382,D. Mee,Dermot William,Mee,21,33,39
284400,T. Collyer,Tobias Christopher,Collyer,19,33,39
284540,Mauro Bandeira,Mauro,Gomes Bandeira,19,42,39
288107,C. McNeill,Charlie Martin,McNeill,20,33,39
303016,M. Oyedele,Maximillian,Oyedele,19,33,39
329358,A. Bott,Aaron Charlie,Bott,19,65,39
329362,J. Powell,Joshua Alan,Powell,18,65,39
330636,S. Aljofree,Sonny,Aljofree,19,33,39
349987,G. Kuol,Garang,Mawien Kuol,19,34,39
378981,Elyh Harrison,Elyh Samuel,Harrison,17,33,39
279,L. Mbe Soh,Loïc Junior,Mbe Soh,22,65,39
907,R. Lukaku,Romelu Menama,Lukaku Bolingoli,30,49,39
18972,A. Knockaert,Anthony Patrick,Knockaert,32,36,39
19866,J. Lowe,Jamal Akua,Lowe,29,35,39
69257,J. Furlong,Walter James,Byrne Furlong,21,51,39
134428,B. Chrisene,Benjamin Joshua,Chrisene,19,66,39
138842,M. Azeez,Miguel,Azeez,21,42,39
144732,T. Doyle,Thomas Glyn,Doyle,23,"50, 39",39
144733,B. Knight,Benjamin Leo,Knight,21,50,39
153261,N. Young-Coombes,Nathan,Young-Coombes,20,55,39
284186,S. McAllister,Sean Paul,McAllister,21,45,39
284212,D. Sassi,Daniel,Sassi,20,44,39
284523,S. Swinkels,Sil,Laurentius Swinkels,19,66,39
288279,Luizão,Luiz Gustavo,Oliveira da Silva,21,48,39
301295,K. Rodney,Kaden Kai,Rodney,19,52,39
331009,C. Sayers,Charlie,Sayers,19,47,39
382167,J. Wadham,Jack,Wadham,20,35,39
382170,M. Kinsey-Wellings,Maxwell,Kinsey-Wellings,18,35,39
382930,F. Okoh,Ferdinand,Okoh,19,35,39
390769,Michael Dacosta,Michael,Dacosta Gonzales,18,35,39
1853,Bruno Jordão,Bruno André,Cavaco Jordão,25,39,39
18899,I. Hayden,Isaac Scott,Hayden,28,34,39
18996,H. Arter,Harry Nicholas,Arter,34,65,39
19592,L. Freeman,Luke Anthony,Freeman,31,1359,39
106086,K. Balmer,Kofi,Balmer,24,52,39
138821,M. Lewis,Marcel David,Lewis,23,44,39
138843,J. Hillson,James Andrew,Hillson,22,42,39
162687,V. Jaroš,Vítězslav,Jaroš,23,40,39
192351,T. Fornah,Tyrese Momodu,Fornah,24,65,39
204031,C. Brennan,Ciaran,Brennan,24,62,39
277716,A. Hackford,Antwoine,Hackford,19,62,39
284187,S. Mills,Stanley,Mills,21,45,39
284361,R. Vítek,Radek,Vítek,21,33,39
284457,L. Bogarde,Lamare Trenton,Chansey Bogarde,20,66,39
308843,T. Patterson,Travis,Patterson,19,66,39
312260,K. Young,Kadan,Young,18,66,39
325967,O. Hammond,Oliver Jack,Hammond,22,65,39
335813,A. Francis-Clarke,Aidan,Francis-Clarke,18,1359,39
347066,E. Pollock,Euan,Pollock,21,35,39
365988,A. Harris,Aidan,Harris,17,34,39
207,I. Perišić,Ivan,Perišić,35,47,39
17772,C. Goode,Charles James,Goode,29,55,39
17879,Carlos Gomes,Carlos,Mendes Gomes,26,1359,39
19115,B. Peacock-Farrell,Bailey,Peacock-Farrell,28,44,39
19345,M. Bech,Mads,Bech Sørensen,25,55,39
45815,S. Tedić,Slobodan,Tedić,24,50,39
50892,D. Pereira,Dion Enrico,Pereira Greives,25,1359,39
138793,H. White,Harvey David,White,23,47,39
138937,F. Marschall,Filip,Marschall,21,66,39
153066,Fábio Carvalho,Fábio Leandro,Freitas Gouveia de Carvalho,22,40,39
162493,M. Craig,Matthew George,Craig,21,47,39
162904,R. Williams,Rhys,Williams,23,40,39
180308,M. Peart-Harris,Myles,Spencer Peart-Harris,22,55,39
231062,A. Okonkwo,Arthur Chukwuezugo,Okonkwo,23,42,39
282254,O. Offiah,Odeluga Joshua,Offiah,22,51,39
284323,C. Savage,Charlie William Henry,Savage,21,33,39
342191,A. Mazilu,Adrian,Mazilu,19,51,39
392636,S. Sachdev,Sai Sachin Rony,Sachdev,19,62,39
400340,L. Marsh,Louie,Marsh,20,62,39
403065,J. Luker,Jayden,Luker,19,1359,39
18820,C. Coventry,Conor James,Coventry,24,48,39
19565,J. Weir,Jensen Guy,Weir,22,51,39
20386,M. Macey,Matthew Ryan,Macey,30,1359,39
68127,K. Watts,Kelland John William James,Watts,25,34,39
87858,J. McAtee,John George,McAtee,25,1359,39
152968,A. Muskwe,Admiral Dalindlela,Muskwe,26,1359,39
154806,L. Watson,Louie Shaun,Watson,23,1359,39
167656,M. Leonard,Marc Henry,Leonard,23,51,39
169291,V. Sinisalo,Viljami Kari Veikko,Sinisalo,23,66,39
179651,J. Taylor,Joseph William John,Taylor,22,1359,39
191337,T. Crama,Tristan,Crama,23,55,39
266203,J. Gordon,John-Kymani Linton,Michael Gordon,21,52,39
278041,M. Cox,Matthew Aidan,Cox,21,55,39
280672,E. Turns,Edward James,Turns,22,51,39
282133,J. Hugill,Joseph Brennen,Hugill,21,33,39
284366,L. Chambers,Luke,Chambers,20,40,39
284475,L. Harris,Luke Bernard,Harris,19,36,39
304319,A. Ola-Adebomi,Ademola,Oladipupo Ola-Adebomi,21,52,39
308867,S. Grehan,Seán,Grehan,20,52,39
342660,O. Arblaster,Oliver Luke,Arblaster,20,62,39
283,T. Alexander-Arnold,Trent John,Alexander-Arnold,26,40,39
855,João Cancelo,João Pedro,Cavaco Cancelo,30,50,39
1096,D. Szoboszlai,Dominik,Szoboszlai,24,40,39
2823,S. Lukić,Saša,Lukić,28,36,39
2932,J. Pickford,Jordan Lee,Pickford,30,45,39
19757,G. Rea,Glen Charles,Rea,30,1359,39
25916,M. Niakhaté,Moussa,Niakhaté,28,65,39
30407,C. Nørgaard,Christian,Thers Nørgaard,30,55,39
44811,S. McKenna,Scott,Fraser McKenna,28,65,39
135525,C. Ramsay,Calvin William,Ramsay,21,40,39
147835,A. Omobamidele,Andrew Abiola,Omobamidele,22,65,39
180866,Marcelo Pitaluga,Marcelo,de Araújo Pitaluga Filho,22,40,39
280688,T. Corbeanu,Theodor Alexander,Corbeanu,22,39,39
284239,O. Hesketh,Owen James Michael,Hesketh,22,39,39
284439,L. Sousa,Lino Gonçalo,da Cruz Sousa,19,42,39
284474,M. Olakigbe,Michael Oluwakorede,Olakigbe,20,55,39
284554,O. Goodman,Owen Olamidayo,Goodman,21,52,39
303010,D. Gore,Daniel,Gore,20,33,39
311520,Marquinhos,Marcus Vinicius,Oliveira Alencar,21,42,39
379626,C. Pettit,Casey,Pettit,22,1359,39
631,P. Foden,Philip Walter,Foden,24,50,39
1485,Bruno Fernandes,Bruno Miguel,Borges Fernandes,30,33,39
