team_id,league_id,team_name,team_code
577,310,FK Kukesi,KUK
605,310,Skenderbeu Korce,SKE
694,310,Tirana,TIR
708,310,Partizani,PAR
2256,310,Laci,LAC
3320,310,Teuta Durrës,TEU
3326,310,Dinamo Tirana,DIN
3327,310,Egnatia Rrogozhinë,
3329,310,Erzeni Shijak,
3339,310,Vllaznia Shkodër,VLL
904,186,CR Belouizdad,BEL
905,186,ES Setif,SET
906,186,MC Alger,ALG
907,186,MC Oran,ORA
909,186,US Biskra,
910,186,USM Alger,ALG
911,186,CS Constantine,CON
914,186,JS Saoura,
915,186,Paradou AC,
918,186,JS Kabylie,KAB
931,186,ASO Chlef,CHL
1071,186,NC Magra,MAG
10743,186,El Bayadh,
10752,186,Khenchela,
10792,186,Ben Aknoun,
19994,186,US Souf,
591,312,FC Santa Coloma,SAN
703,312,UE Santa Coloma,
3342,312,Inter Club d'Escaldes,
3344,312,Ordino,
3345,312,Atlètic Club d'Escaldes,
3346,312,Carroi,
3352,312,Penya Encarnada,
3876,312,Atlètic Amèrica,
19195,312,Esperança d'Andorra,
19196,312,Pas de la Casa,
4913,397,1º de Agosto,PRI
4915,397,Académica do Lobito,LOB
4918,397,Desportivo Huíla,HUI
4920,397,Interclube,INT
4921,397,Onze Bravos,BRA
4922,397,Petro de Luanda,PET
4924,397,Recreativo do Libolo,LIB
4925,397,Sagrada Esperança,SAG
4926,397,Sporting de Cabinda,SPO
4928,397,Santa Rita,
4929,397,Kabuscorp,KAB
6383,397,Wiliete,
17987,397,CD Lunda-Sul,
20246,397,Isaac de Benguela,
22359,397,São Salvador,
22360,397,União de Malanje,
434,128,Gimnasia L.P.,GIM
435,128,River Plate,RIV
436,128,Racing Club,RAC
437,128,Rosario Central,ROS
438,128,Velez Sarsfield,VEL
439,128,Godoy Cruz,GOD
440,128,Belgrano Cordoba,BEL
441,128,Union Santa Fe,UNI
442,128,Defensa Y Justicia,DEF
445,128,Huracan,HUR
446,128,Lanus,LAN
448,128,Colon Santa Fe,COL
449,128,Banfield,BAN
450,128,Estudiantes L.P.,EST
451,128,Boca Juniors,BOC
452,128,Tigre,TIG
453,128,Independiente,IND
455,128,Atletico Tucuman,TUC
456,128,Talleres Cordoba,TAL
457,128,Newells Old Boys,NEW
458,128,Argentinos JRS,ARG
459,128,Arsenal Sarandi,ARS
460,128,San Lorenzo,LOR
474,128,Sarmiento Junin,SAR
478,128,Instituto Cordoba,INS
1064,128,Platense,PLA
1065,128,Central Cordoba de Santiago,
2432,128,Barracas Central,BAR
582,342,Alashkert,ALA
709,342,Pyunik Yerevan,PYU
2276,342,FC Urartu,BAN
3682,342,Ararat,ARA
3683,342,Ararat-Armenia,
3684,342,Artsakh,
3686,342,Shirak,SHI
6279,342,BKMA,
6286,342,Van,
6287,342,West Armenia,
8232,421,Nacional,
8234,421,Britannia,
8235,421,Bubali,
8237,421,Dakota,
8238,421,Estrella,
8239,421,La Fama,
8240,421,RCA,
8242,421,River Plate,
8243,421,Caiquetio,
19962,421,Santa Fe,
939,188,Western Sydney Wanderers,WSW
940,188,Perth Glory,PER
941,188,Central Coast Mariners,CEN
942,188,Wellington Phoenix,WEL
943,188,Sydney,SYD
944,188,Melbourne Victory,MEL
945,188,Melbourne City,MEL
946,188,Newcastle Jets,NEW
947,188,Brisbane Roar,BRI
948,188,Adelaide United,ADE
7573,188,Western United,
15550,188,Macarthur,
571,218,Red Bull Salzburg,SAL
601,218,Austria Vienna,AUS
618,218,SCR Altach,ALT
637,218,Sturm Graz,STU
781,218,Rapid Vienna,RAP
1025,218,Wolfsberger AC,WOL
1026,218,Lask Linz,LAS
1072,218,TSV Hartberg,HAR
1394,218,FC BW Linz,LIN
1398,218,WSG Wattens,WAT
1399,218,Austria Lustenau,LUS
1405,218,Austria Klagenfurt,
666,418,Keshla FC,INT
5492,418,MOIK,MOI
5495,418,Qaradağ Lökbatan,LOK
5500,418,Zaqatala,
5570,418,Mil-Muğan,MIL
5573,418,Energetik,
11239,418,Karvan,
22279,418,Araz Saatlı,
22280,418,Difai Ağsu,
22281,418,İrəvan,
5479,417,Al Najma,
5480,417,Al Shabab,
5481,417,Al Hala,
5482,417,Al Riffa,RIF
5483,417,Al-Hidd,HAD
5485,417,East Riffa,
5487,417,Manama,
5488,417,Muharraq,MUH
5580,417,Al Ahli,
7515,417,Busaiteen,BUS
10238,417,Sitra,
17666,417,Khalidiya,
5009,398,Abahani,
5010,398,Abahani Chittagong,
5012,398,Bashundhara Kings,
5014,398,Mohammedan Dhaka,
5015,398,Muktijoddha SKC,
5017,398,Rahmatgonj MFS,
5019,398,Sheikh Jamal,
5020,398,Sheikh Russel,SHE
10106,398,Bangladesh Police,
20779,398,AFC Uttara,
20780,398,Fortis,
379,116,FC Slutsk,SLU
380,116,FC Minsk,MIN
382,116,FC Vitebsk,
385,116,Torpedo Zhodino,ZHO
386,116,Dinamo Brest,BRE
387,116,Neman,NEM
388,116,Bate Borisov,BAT
389,116,FC Gomel,GOM
391,116,FC Isloch Minsk R.,
392,116,Shakhter Soligorsk,SOL
394,116,Dinamo Minsk,MIN
750,116,Naftan,NAF
751,116,Slavia Mozyr,SLA
2433,116,FC Energetik-Bgu Minsk,ZVE
3384,116,Belshina,BEL
3393,116,Smorgon,SMO
260,144,OH Leuven,LEU
261,144,KVC Westerlo,WES
266,144,KV Mechelen,MEC
554,144,Anderlecht,AND
569,144,Club Brugge KV,CLU
631,144,Gent,GEN
733,144,Standard Liege,STA
734,144,Kortrijk,KOR
735,144,St. Truiden,TRU
736,144,Charleroi,CHA
739,144,AS Eupen,EUP
740,144,Antwerp,ANT
741,144,Cercle Brugge,CER
742,144,Genk,GEN
1393,144,Union St. Gilloise,GIL
6224,144,RWDM,
5470,416,Bandits,
5474,416,Police United,
5475,416,Verdes,
5476,416,Wagiya,
5477,416,Altitude,
19740,416,Benque,
19741,416,Port Layola,
19762,416,Progresso,
5411,415,Tonnerre,
5451,415,Police,
5453,415,ASPAC,
5454,415,ASVO,
5455,415,Avrankou Omnisport,
5456,415,Ayema,
5457,415,Buffles,
5458,415,Béké Bembèrèkè,
5459,415,Dragons,
5460,415,Dynamo Abomey,
5464,415,JSP,
5465,415,Panthères,
5466,415,Soleil,
5467,415,UPI-ONM,
5468,415,USSK,
5584,415,Requins,
7765,415,Dynamo Unacob,
7766,415,Réal Sport,
8086,415,Etoile Filante,
16418,415,AS Cotonou,
16419,415,Adjidja,
16420,415,Cavaliers,
16421,415,Dadjè,
16422,415,Damissa,
16423,415,Djeffa,
16424,415,Dynamique Djougou,
16425,415,Espoir Savalou,
16427,415,Hodio,
16429,415,Tukunnin,
18113,415,Coton Sport Ouidah,
18114,415,Loto Popo,
20668,415,Bani Gansè,
20669,415,JAK,
20670,415,JSO,
22597,415,Abeilles,
22598,415,Aïnonvi,
5443,414,Dandy Town Hornets,
5444,414,Devonshire Cougars,
5445,414,North Village Rams,
5446,414,Paget Lions,
5447,414,Pembroke Hamilton Club,
5449,414,Somerset Trojans,
5450,414,X-Roads Warriors,
5586,414,YMSC,
15226,414,St. George's Colts,
20405,414,Hamilton Parish,
5433,413,Bhutan U19,
5438,413,Phuentsholing,
5590,413,Tensung,
19004,413,Namlha,
19006,413,Thimphu Raven,
21274,413,Phuentsholing SA,
21275,413,Samtse,
21276,413,South Druk United,
21277,413,Tsirang,
3637,344,Aurora,AUR
3700,344,Always Ready,
3701,344,Blooming,BLO
3702,344,Bolívar,BOL
3704,344,Guabirá,GUA
3705,344,Jorge Wilstermann,WIL
3706,344,Nacional Potosí,NAC
3707,344,Oriente Petrolero,ORI
3709,344,Royal Pari,
3711,344,The Strongest,STR
10011,344,Atlético Palmaflor,
12259,344,Santa Cruz,SAN
15702,344,Independiente Petrolero,
15708,344,Real Tomayapo,
15714,344,Vaca Díez,
15715,344,Libertad,
17760,344,San Antonio Bulo Bulo,
17762,344,Universitario de Vinto,
588,314,Zrinjski,ZRI
642,314,Siroki Brijeg,SIR
654,314,Zeljeznicar Sarajevo,ZEL
679,314,FK Sarajevo,SAR
3356,314,GOŠK Gabela,
3359,314,Radnik Bijeljina,RAD
3360,314,Sloboda Tuzla,
3361,314,Tuzla City,
3362,314,Zvijezda 09,
3363,314,Čelik,ZEN
3364,314,Borac Banja Luka,BOR
3365,314,Bosna Visoko,
3366,314,Goražde,
3367,314,Igman Konjic,
3369,314,Kozara Gradiška,
3370,314,Leotar,LEO
3377,314,Rudar Prijedor,RUD
3378,314,Slavija,SLA
3380,314,TOŠK Tešanj,
3381,314,Velež,VEL
4285,314,Sutjeska Foča,
4287,314,Tekstilac Derventa,
4290,314,Brotnjo,
7529,314,Jedinstvo Bihać,
7531,314,Radnik Hadžići,
8504,314,Sloga Doboj,
14146,314,Posušje,
17372,314,Tomislav,
17900,314,Sloga Uskoplje,
17901,314,Stupčanica Olovo,
19562,314,Laktaši,
22545,314,Bratstvo Bosanska Krupa,
5416,412,BDF XI,
5421,412,Gaborone United,
5422,412,Galaxy,
5425,412,Orapa United,
5426,412,Police XI,
5429,412,Security Systems,
5431,412,Township Rollers,
5597,412,TAFIC,
5602,412,Nico United,
6386,412,Morupule Wanderers,
18120,412,Masitaoka,
18122,412,Sua Flamingoes,
20435,412,Eleven Angels,
20436,412,Holy Ghost,
22563,412,Matebele,
22564,412,VTM,
118,71,Bahia,BAH
119,71,Internacional,INT
120,71,Botafogo,BOT
121,71,Palmeiras,PAL
124,71,Fluminense,FLU
125,71,America Mineiro,AME
126,71,Sao Paulo,PAU
127,71,Flamengo,FLA
128,71,Santos,SAN
130,71,Gremio,GRE
131,71,Corinthians,COR
133,71,Vasco DA Gama,VAS
134,71,Atletico Paranaense,ATL
135,71,Cruzeiro,CRU
147,71,Coritiba,COR
151,71,Goias,GOI
154,71,Fortaleza EC,FOR
794,71,RB Bragantino,BRA
1062,71,Atletico-MG,ATL
1193,71,Cuiaba,CUI
566,172,Ludogorets,LUD
634,172,Botev Plovdiv,BOT
646,172,Levski Sofia,LEV
851,172,Cherno More Varna,CHE
853,172,CSKA Sofia,CSK
854,172,Slavia Sofia,SLA
855,172,Etar Veliko Tarnovo,
857,172,Beroe,BER
858,172,Lokomotiv Plovdiv,PLO
859,172,Botev Vratsa,VRA
1416,172,Lokomotiv Sofia,
1426,172,CSKA 1948,
1428,172,Pirin Blagoevgrad,
1430,172,Arda Kardzhali,
4659,172,Hebar 1918,
17306,172,Levski Krumovgrad,
6430,423,Rahimo,
8072,423,Salitas,
8086,423,Etoile Filante,
8111,423,SONABEL,
8561,423,RCK,
8562,423,ASEC-K,
8563,423,ASFA-Yennenga,
8564,423,ASFB,
8565,423,KOZAF,
8566,423,Majestic,
8568,423,RC Bobo-Dioulasso,
8569,423,Royal,
8570,423,USFA,
13978,423,Douanes,
